# English-Italian dictionary created from Wikipedia database
# Created on: 2011-04-01T04:13:14+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
0 (number)	Zero
Politician	Politico
Politics	Politica
Politics	Categoria:Politica
Pollen	Polline
Pollination	Impollinazione
Pollution	Inquinamento
Polo	Polo (sport)
Polonium	Polonio
Polyethylene	Polietilene
Polygamy	Poligamia
Polygon	Poligono
Polyhedron	Poliedro
Polyhymnia	Polimnia
Polymer	Polimero
Polynesia	Polinesia
Polynomial	Polinomio
Polytheism	Politeismo
Polyvinyl chloride	Cloruro di polivinile
Pomegranate	Punica
Pomelo	Citrus maxima
Pompeii	Scavi archeologici di Pompei
Pompey	Gneo Pompeo Magno
Pontius Pilate	Ponzio Pilato
Pop art	Pop art
Pop music	Musica pop
Pope	Papa
Pope Alexander VI	Papa Alessandro VI
Poplar	Populus
Population	Popolazione
Populism	Populismo
Porcelain	Porcellana
Pornography	Pornografia
Port	Porto (struttura)
Port Louis	Port Louis
Port Moresby	Port Moresby
Port Vila	Port Vila
Port of Spain	Port of Spain
Port-au-Prince	Port-au-Prince
Portland	Portland (Oregon)
Portland	Portland
Porto	Oporto
Portrait	Ritratto
Portsmouth	Portsmouth
Portugal	Portogallo
Portugal	Categoria:Portogallo
Poseidon	Poseidone
Positron	Positrone
Postage stamp	Francobollo
Postal code	Codice postale
Postmodernism	Postmodernismo
Potassium	Potassio
Potassium nitrate	Nitrato di potassio
Potato	Solanum tuberosum
Potential energy	Energia potenziale
Potsdam	Potsdam
Pound (mass)	Libbra (unità di massa)
Pound sterling	Sterlina britannica
Poverty	Povertà
Power (physics)	Potenza (fisica)
Power station	Centrale elettrica
Praetor	Pretore (storia romana)
Prague	Praga
Prague	Categoria:Praga
Praia	Praia
Praseodymium	Praseodimio
Prayer	Preghiera
Precambrian	Precambriano
Precession	Precessione
Precipitation (meteorology)	Precipitazione (meteorologia)
Pregnancy	Gravidanza
Prehistory	Preistoria
Prehistory	Categoria:Preistoria
President	Presidente
President of the United States	Presidente degli Stati Uniti
Pressure	Pressione
Pretoria	Pretoria
Priam	Priamo
Price	Prezzo
Priest	Sacerdote
Primate	Primates
Primates	Categoria:Primati
Prime Meridian	Meridiano di Greenwich
Prime minister	Primo ministro
Prime number	Numero primo
Prince Edward Island	Isola del Principe Edoardo
Prince Philip	Principe Filippo, duca di Edimburgo
Prince of Wales	Principe del Galles
Princeton University	Università di Princeton
Principle of relativity	Principio di relatività
Printing	Stampa
Prion	Prione
Prism (geometry)	Prisma
Prison	Prigione
Prisoner of war	Prigioniero di guerra
Prix Goncourt	Premio Goncourt
Probability	Probabilità
Probability theory	Teoria della probabilità
Procyonidae	Procyonidae
Professor	Professore
Profit	Profitto
Programmer	Programmatore
Programming language	Linguaggio di programmazione
Progressive rock	Rock progressivo
Project	Progetto
Prokaryote	Prokaryota
Prolog	Prolog
Prometheus	Prometeo (mitologia)
Promethium	Promezio
Pronoun	Pronome
Propaganda	Propaganda
Propane	Propano
Prophet	Profeta
Prose	Prosa
Prostate	Prostata
Protactinium	Protoattinio
Protectorate	Protettorato
Protein	Proteina
Proterozoic	Proterozoico
Protestant Reformation	Riforma protestante
Protestantism	Protestantesimo
Protist	Protista
Protocol	Protocollo
Proton	Protone
Protozoa	Protozoa
Providence	Providence (Rhode Island)
Proxima Centauri	Proxima Centauri
Prunus	Prunus
Prussia	Prussia
Psalms	Salmi
Pseudonym	Pseudonimo
Pseudoscience	Categoria:Pseudoscienza
Pseudoscience	Pseudoscienza
Psi (letter)	Psi (lettera)
Psoriasis	Psoriasi
Psychiatry	Psichiatria
Psychiatry	Categoria:Psichiatria
Psychoanalysis	Psicoanalisi
Psychology	Psicologia
Psychology	Categoria:Psicologia
Psychosis	Psicosi
Psychotherapy	Psicoterapia
Ptah	Ptah
Pterosaur	Pterosauria
Ptolemaic dynasty	Dinastia tolemaica
Ptolemy	Claudio Tolomeo
Puberty	Pubertà
Public domain	Pubblico dominio
Public relations	Pubbliche relazioni
Puerto Rico	Porto Rico
Puerto Rico	Categoria:Porto Rico
Pula	Pola
Pulley	Carrucola
Pulsar	Pulsar
Pump	Pompa
Punctuation	Punteggiatura
Punjab (India)	Punjab
Punk	Categoria:Punk
Punk rock	Punk rock
Pupil	Pupilla (anatomia)
Puppis	Poppa (costellazione)
Pyongyang	Pyongyang
Pyramid	Piramide
Pyramid (geometry)	Piramide#Geometria
Pyrenees	Pirenei
Pyrite	Pirite
Pyrrhic victory	Vittoria di Pirro
Pythagoras	Pitagora
Python (programming language)	Python
Pyxis	Bussola (costellazione)
Q	Q
Qatar	Qatar
Qatar	Categoria:Qatar
Qin Dynasty	Dinastia Qin
Qing Dynasty	Dinastia Qing
Quadratic equation	Equazione di secondo grado
Quadrilateral	Quadrilatero
Quaestor	Questore (storia romana)
Quantum field theory	Teoria quantistica dei campi
Quantum mechanics	Meccanica quantistica
Quantum mechanics	Categoria:Meccanica quantistica
Quarantine	Quarantena
Quark	Quark (particella)
Quartz	Quarzo
Quasar	Quasar
Quaternary	Quaternario (geologia)
Quaternion	Quaternione
Quebec	Québec (provincia)
Quebec	Categoria:Québec
Quebec City	Québec (città)
Quechua	Lingua quechua
Queen (chess)	Donna (scacchi)
Queens	Queens
Queensland	Queensland
Quentin Tarantino	Quentin Tarantino
Question mark	Punto interrogativo
Quetzalcoatl	Quetzalcoatl
Quince	Cydonia oblonga
Quito	Quito
R	R
RAF (disambiguation)	RAF
RAID	RAID
RNA	RNA
Ra	Ra
Rabat	Rabat
Rabbi	Rabbino
Rabindranath Tagore	Rabindranath Tagore
Raccoon Dog	Nyctereutes procyonoides
Race	Razza
Rachel Carson	Rachel Carson
Racism	Razzismo
Racism	Categoria:Razzismo
Radar	Radar
Radian	Radiante
Radio	Categoria:Radio
Radio telescope	Radiotelescopio
Radioactive decay	Radioattività
Radiocarbon dating	Metodo del carbonio-14
Radiology	Radiologia
Radium	Radio (elemento)
Radius	Raggio (geometria)
Radon	Radon
Rain	Pioggia
Rainbow	Arcobaleno
Rainer Maria Rilke	Rainer Maria Rilke
Raleigh	Raleigh (Carolina del Nord)
Ralph Waldo Emerson	Ralph Waldo Emerson
Rama	Rama
Ramadan	Ramadan
Ramayana	Ramayana
Ramesses II	Ramesse II
Random access memory	Random access memory
Ranunculaceae	Ranunculaceae
Rape	Stupro
Rapeseed	Brassica napus
Raphael	Raffaello Sanzio
Raphael (archangel)	Arcangelo Raffaele
Rapid transit	Categoria:Metropolitane
Raspberry	Rubus idaeus
Rat	Rattus
Rational number	Numero razionale
Ratite	Struthioniformes
Ravenna	Ravenna
Rawalpindi	Rawalpindi
Ray Bradbury	Ray Bradbury
Read-only memory	Read only memory
Real number	Numero reale
Recession	Recessione
Recife	Recife
Rectangle	Rettangolo
Rectifier	Raddrizzatore
Recursion	Algoritmo ricorsivo
Recycling	Riciclaggio dei rifiuti
Red	Rosso
Red Army Faction	Rote Armee Fraktion
Red Deer	Cervus elaphus
Red Fox	Vulpes vulpes
Red Panda	Ailurus fulgens
Red Sea	Mar Rosso
Red algae	Rhodophyta
Red blood cell	Globulo rosso
Red dwarf	Nana rossa
Red giant	Gigante rossa
Redshift	Spostamento verso il rosso
Redshift (disambiguation)	Spostamento verso il rosso
Reduced instruction set computer	RISC
Referendum	Referendum
Refraction	Rifrazione
Refractive index	Indice di rifrazione
Refugee	Rifugiato
Regent	Reggente
Reggae	Reggae
Regiment	Reggimento
Regina	Regina (Canada)
Region	Regione (geografia)
Reims	Reims
Reincarnation	Reincarnazione
Reindeer	Rangifer tarandus
Relation (mathematics)	Relazione (matematica)
Relativism	Relativismo
Relativity	Categoria:Teorie relativistiche
Relay	Relè
Religion	Religione
Religion	Categoria:Religione
Religious Society of Friends	Quaccherismo
Rembrandt	Rembrandt Harmenszoon van Rijn
Renaissance	Rinascimento
Renaissance	Categoria:Rinascimento
Reproduction	Riproduzione
Reptile	Reptilia
Republic	Repubblica
Republic of China	Repubblica di Cina
Republic of Ireland	Irlanda
Republic of Ireland	Categoria:Repubblica d'Irlanda
Republic of the Congo	Repubblica del Congo
Republic of the Congo	Categoria:Repubblica del Congo
Republican Party (United States)	Partito Repubblicano (Stati Uniti)
Requiem	Requiem
Resistor	Resistore
Respiratory system	Apparato respiratorio
Restaurant	Ristorante
Reticulum	Reticolo (costellazione)
Retina	Retina
Retinol	Retinolo
Revolution	Rivoluzione (politica)
Revolver	Rivoltella
Rhea (moon)	Rea (astronomia)
Rhea (mythology)	Rea (mitologia)
Rhenium	Renio
Rhetoric	Retorica
Rhetoric	Categoria:Retorica
Rhine	Reno (Germania)
Rhinoceros	Rhinocerotidae
Rho (letter)	Rho (lettera)
Rhode Island	Rhode Island
Rhode Island	Categoria:Rhode Island
Rhodes	Rodi
Rhodium	Rodio
Rhombus	Rombo (geometria)
Rhyme	Rima (linguistica)
Rhythm	Ritmo (musica)
Rhythm and blues	Rhythm and blues
Rib	Costola
Riboflavin	Riboflavina
Ribosome	Ribosoma
Rice	Oryza sativa
Richard Feynman	Richard Feynman
Richard Nixon	Richard Nixon
Richard Strauss	Richard Strauss
Richard Wagner	Richard Wagner
Richard Wright (musician)	Richard Wright (musicista)
Richmond	Richmond (Virginia)
Riga	Riga (Lettonia)
Rigel	Rigel
Right ascension	Ascensione Retta
Ring (mathematics)	Anello (algebra)
Ringo Starr	Ringo Starr
Rio Grande	Rio Grande (fiume - Stati Uniti)
Rio de Janeiro	Rio de Janeiro
Rio de Janeiro (state)	Rio de Janeiro (stato)
River	Fiume
River Thames	Tamigi
Riyadh	Riyad
Road	Strada
Roald Amundsen	Roald Amundsen
Robert A. Heinlein	Robert Anson Heinlein
Robert Andrews Millikan	Robert Millikan
Robert Boyle	Robert Boyle
Robert Burns	Robert Burns
Robert De Niro	Robert De Niro
Robert E. Lee	Robert Edward Lee
Robert Falcon Scott	Robert Falcon Scott
Robert Hooke	Robert Hooke
Robert Koch	Robert Koch
Robert Louis Stevenson	Robert Louis Stevenson
Robert Oppenheimer	Robert Oppenheimer
Robert Owen	Robert Owen
Robert Redford	Robert Redford
Robert Schumann	Robert Schumann
Robin Hood	Robin Hood
Robot	Robot
Rock	Morra cinese
Rock (geology)	Roccia
Rock and roll	Rock and roll
Rock music	Rock
Rock music	Categoria:Generi musicali rock
Rocket	Razzo
Rocky Mountains	Montagne Rocciose
Rococo	Rococò
Rodent	Rodentia
Roe Deer	Capreolus capreolus
Roentgenium	Roentgenio
Roger Bacon	Ruggero Bacone
Roman Catholic Church	Chiesa cattolica
Roman Empire	Impero romano
Roman Republic	Repubblica Romana
Roman calendar	Calendario romano
Roman law	Diritto romano
Roman legion	Legione romana
Roman mythology	Mitologia romana
Roman mythology	Categoria:Mitologia romana
Romania	Romania
Romania	Categoria:Romania
Romansh	Lingua romancia
Romanticism	Romanticismo
Rome	Roma
Rome	Categoria:Roma
Ronald Reagan	Ronald Reagan
Roof	Tetto
Rook (bird)	Corvus frugilegus
Rook (chess)	Torre (scacchi)
Roosevelt	Roosevelt
Root	Radice (botanica)
Rosa Parks	Rosa Parks
Rosaceae	Rosaceae
Rosales	Rosales
Rosario	Rosario (Argentina)
Rosary	Rosario
Rose	Rosa (botanica)
Roseau	Roseau
Rosemary	Rosmarinus officinalis
Rosetta Stone	Stele di Rosetta
Rosh Hashanah	Rosh haShana
Ross Sea	Mare di Ross
Rostock	Rostock
Rotifer	Rotifera
Rotterdam	Rotterdam
Router	Router
Rowing (sport)	Canottaggio
Royal Air Force	Royal Air Force
Royal Society	Royal Society
Rubber	Gomma (materiale)
Rubicon	Rubicone
Rubidium	Rubidio
Ruble	Rublo
Rubus idaeus	Rubus idaeus
Ruby	Rubino
Ruby (programming language)	Ruby
Rudolf Diesel	Rudolf Diesel
Rudolf Hess	Rudolf Heß
Rudolf Steiner	Rudolf Steiner
Rudyard Kipling	Rudyard Kipling
Rugby football	Rugby (sport)
Rupert Murdoch	Rupert Murdoch
Russia	Russia
Russia	Categoria:Russia
Russian Orthodox Church	Chiesa ortodossa russa
Russian Revolution (1917)	Rivoluzione russa
Russo-Japanese War	Guerra russo-giapponese
Ruthenium	Rutenio
Rutherford B. Hayes	Rutherford B. Hayes
Rutherfordium	Rutherfordio
Rwanda	Ruanda
Rwanda	Categoria:Ruanda
Rye	Secale cereale
S	S
SOAP	SOAP
SOS	SOS
Sacrament	Sacramento
Sacramento	Sacramento (California)
Saddam Hussein	Saddam Hussein
Safari (web browser)	Safari (browser)
Saffron	Crocus sativus
Sagitta	Freccia (costellazione)
Sagittarius (constellation)	Sagittario (costellazione)
Sahara	Deserto del Sahara
Sail	Vela (sistema di propulsione)
Saint	Santo
Saint Andrew	Andrea apostolo
Saint George	San Giorgio
Saint Kitts and Nevis	Saint Kitts e Nevis
Saint Kitts and Nevis	Categoria:Saint Kitts e Nevis
Saint Lawrence River	San Lorenzo (fiume)
Saint Lucia	Santa Lucia (stato)
Saint Lucia	Categoria:Santa Lucia
Saint Martin	Saint-Martin (isola)
Saint Nicholas	San Nicola di Bari
Saint Patrick	San Patrizio
Saint Paul	Saint Paul (Minnesota)
Saint Peter	Pietro apostolo
Saint Petersburg	San Pietroburgo
Saint Petersburg	Categoria:San Pietroburgo
Saint Vincent and the Grenadines	Saint Vincent e Grenadine
Saint Vincent and the Grenadines	Categoria:Saint Vincent e Grenadine
Sake	Sake
Saladin	Saladino
Salah	Ṣalāt
Salamander	Urodela
Salem	Salem (Oregon)
Salerno	Salerno
Saliva	Saliva
Salman Rushdie	Salman Rushdie
Salmonidae	Salmonidae
Salt	Sale da cucina
Salt (chemistry)	Sale
Salt Lake City	Salt Lake City
Salvador	Salvador (città)
Salzburg	Salisburgo
Salzburg (state)	Salisburghese
Samara	Samara (città)
Samarium	Samario
Samarkand	Samarcanda
Samoa	Samoa
Samoa	Categoria:Samoa
Samsara	Saṃsāra
Samuel Beckett	Samuel Beckett
Samuel F. B. Morse	Samuel Finley Breese Morse
Samuel Taylor Coleridge	Samuel Taylor Coleridge
Samurai	Samurai
San Antonio	San Antonio (Stati Uniti)
San Diego	San Diego (California)
San Francisco	San Francisco
San Jose	San José (California)
San Juan	San Juan (Porto Rico)
San Marino	San Marino
San Marino	Categoria:San Marino
San Marino	Città di San Marino
San Salvador	San Salvador (El Salvador)
Sand	Sabbia
Sandro Botticelli	Sandro Botticelli
Sandstone	Arenaria (roccia)
Sandwich	Sandwich (cucina)
Sanskrit	Lingua sanscrita
Santa Claus	Babbo Natale
Santa Fe	Santa Fe (Nuovo Messico)
Santiago	Santiago del Cile
Santiago	Santiago (disambigua)
Santiago de Cuba	Santiago di Cuba
Santo Domingo	Santo Domingo (città)
Santos (Săo Paulo)	Santos
Sapphire	Zaffiro
Sappho	Saffo
Sapporo	Sapporo
Sarah Bernhardt	Sarah Bernhardt
Sarajevo	Sarajevo
Saratov	Saratov
Sarcophagus	Sarcofago
Sardine	Sardina pilchardus
Sardinia	Sardegna
Sari	Sari
Sarin	Sarin
Saskatchewan	Saskatchewan
Satan	Satana
Satanism	Satanismo
Satellite	Satellite artificiale
Satire	Satira
Saturday	Sabato
Saturn	Saturno (astronomia)
Saturn	Categoria:Saturno
Saturn (disambiguation)	Saturno
Saturn (mythology)	Saturno (divinità)
Satyr	Satiro (mitologia)
Sauce	Salsa (cucina)
Saudi Arabia	Arabia Saudita
Saudi Arabia	Categoria:Arabia Saudita
Saul Bellow	Saul Bellow
Sausage	Salume
Savanna	Savana
Saxony	Sassonia
Saxony	Categoria:Sassonia
Saxophone	Sassofono
Scandinavia	Scandinavia
Scandinavian Peninsula	Penisola scandinava
Scandium	Scandio
Scapula	Scapola
Scheldt	Schelda
Scheme (programming language)	Scheme
Schizophrenia	Schizofrenia
Scholasticism	Scolastica
School	Scuola
Schutzstaffel	Schutzstaffel
Science	Scienza
Science	Categoria:Scienza
Science fiction	Fantascienza
Science fiction	Categoria:Fantascienza
Scientific method	Metodo scientifico
Scientist	Scienziato
Scientology	Scientology
Scipio Africanus	Publio Cornelio Scipione
Scissors	Forbici
Sciuridae	Sciuridae
Scorpion	Scorpiones
Scorpius	Scorpione (costellazione)
Scotland	Scozia
Scotland	Categoria:Scozia
Scots Pine	Pinus sylvestris
Scottish Gaelic	Lingua gaelica scozzese
Scouting	Scautismo
Scrabble	Scrabble
Screw	Vite (meccanica)
Screwdriver	Giravite
Scrotum	Scroto
Sculptor (constellation)	Scultore (costellazione)
Sculpture	Scultura
Sculpture	Categoria:Scultura
Sea	Mare
Sea Otter	Enhydra lutris
Sea anemone	Actiniaria
Sea cucumber	Holothuroidea
Sea level	Livello del mare
Sea of Azov	Mar d'Azov
Sea of Japan	Mar del Giappone
Sea of Marmara	Mar di Marmara
Sea of Okhotsk	Mare di Ochotsk
Sea urchin	Echinoidea
Seaborgium	Seaborgio
Seahorse	Hippocampus
Search engine	Motore di ricerca
Sears Tower	Sears Tower
Season	Stagione
Seattle	Seattle
Second	Secondo
Second Crusade	Seconda crociata
Second Vatican Council	Concilio Vaticano II
Second law of thermodynamics	Secondo principio della termodinamica
Sect	Setta
Sedimentary rock	Roccia sedimentaria
Seed	Seme
Segovia	Segovia
Seine	Senna
Seismology	Sismologia
Seismology	Categoria:Sismologia
Selene	Selene
Selenium	Selenio
Seleucus I Nicator	Seleuco I
Semantics	Semantica
Semantics	Categoria:Semantica
Semen	Sperma
Semicolon	Punto e virgola
Semiconductor	Semiconduttore
Semiotics	Semiotica
Semitic	Semiti
Senate	Senato
Senegal	Senegal
Senegal	Categoria:Senegal
Seoul	Seoul
Seppuku	Seppuku
September	Settembre
September 11	11 settembre
September 11	Attentati dell'11 settembre 2001
September 17	17 settembre
September 29	29 settembre
Septuagint	Septuaginta
Sequence	Successione (matematica)
Serbia	Serbia
Serbia	Categoria:Serbia
Serbia and Montenegro	Serbia e Montenegro
Serbia and Montenegro	Categoria:Serbia e Montenegro
Serfdom	Servitù della gleba
Sergei Eisenstein	Sergej Michajlovič Ejzenštejn
Sergei Rachmaninoff	Sergej Vasil'evič Rachmaninov
Series (mathematics)	Serie
Serine	Serina (chimica)
Serotonin	Serotonina
Serpens	Serpente (costellazione)
Server (computing)	Server
Set	Insieme
Set (mythology)	Seth
Set theory	Teoria degli insiemi
Set theory	Categoria:Teoria degli insiemi
Sevastopol	Sebastopoli
Seven Years' War	Guerra dei sette anni
Severe acute respiratory syndrome	SARS
Seville	Siviglia
Sex	Sesso (biologia)
Sex organ	Apparato genitale
Sexism	Sessismo
Sextant	Sestante
Sexual intercourse	Attività sessuale
Sexuality	Categoria:Sessualità
Sexually transmitted disease	Malattia sessualmente trasmissibile
Seychelles	Seychelles
Seychelles	Categoria:Seychelles
Shah	Scià
Shahadah	Shahada
Shamanism	Sciamanesimo
Shanghai	Shanghai
Share (finance)	Azione (finanza)
Shareware	Shareware
Sharia	Shari'a
Shark	Selachimorpha
Sheffield	Sheffield
Sherlock Holmes	Sherlock Holmes
Shetland	Isole Shetland
Shield	Scudo (difesa)
Shikoku	Shikoku
Shinto	Shintoismo
Ship	Nave
Shiva	Shiva
Shogi	Shogi
Shogun	Shōgun
Shorthand	Stenografia
Shrimp	Caridea
Shrub	Arbusto
Siberia	Siberia
Siberian Husky	Siberian Husky
Sichuan	Sichuan
Sicily	Sicilia
Sicily	Categoria:Regione Sicilia
Siemens (unit)	Siemens (unità di misura)
Sierra Leone	Sierra Leone
Sierra Leone	Categoria:Sierra Leone
Sigma	Sigma (lettera greca)
Sigmund Freud	Sigmund Freud
Sign language	Lingua dei segni
Sigrid Undset	Sigrid Undset
Sikhism	Sikhismo
Sikkim	Sikkim
Silesia	Slesia
Silicon	Silicio
Silicon Valley	Silicon Valley
Silicon dioxide	Silice
Silk	Seta
Silk Road	Via della seta
Silurian	Siluriano
Silver	Argento
Simone de Beauvoir	Simone de Beauvoir
Sin	Peccato
Sinai Peninsula	Penisola del Sinai
Sinclair Lewis	Sinclair Lewis
Singapore	Singapore
Singapore	Categoria:Singapore
Single (music)	Singolo
Siren	Sirena (mitologia)
Sirenia	Sirenia
Sirius	Sirio
Sistine Chapel	Cappella Sistina
Sisyphus	Sisifo
Sitting Bull	Toro Seduto
Situation comedy	Situation comedy
Six-Day War	Guerra dei sei giorni
Skagerrak	Skagerrak
Skateboard	Skateboard
Skepticism	Scetticismo
Skin	Pelle
Skinhead	Skinhead
Skopje	Skopje
Skull	Cranio
Skylab	Skylab
Skyscraper	Grattacielo
Slash (musician)	Slash
Slavery	Schiavismo
Slayer	Slayer
Sleep	Sonno
Slovakia	Slovacchia
Slovakia	Categoria:Slovacchia
Slovenia	Slovenia
Slovenia	Categoria:Slovenia
Small intestine	Intestino tenue
Smog	Smog
Smolensk	Smolensk
Snake	Serpentes
Snooker	Snooker
Snow	Neve
Soap	Sapone
Social psychology	Psicologia sociale
Socialism	Socialismo
Socialism	Categoria:Socialismo
Socialist Party (France)	Partito Socialista (Francia)
Society	Categoria:Società
Society	Società
Society of Jesus	Compagnia di Gesù
Sociolinguistics	Sociolinguistica
Sociology	Sociologia
Sociology	Categoria:Sociologia
Socrates	Socrate
Sodium	Sodio
Sodium bicarbonate	Bicarbonato di sodio
Sodium chloride	Cloruro di sodio
Sodium hydroxide	Idrossido di sodio
Sofia	Sofia
Softball	Softball
Software	Categoria:Software
Soil	Suolo
Solanaceae	Solanaceae
Solanaceae	Categoria:Solanaceae
Solar System	Sistema solare
Solar System	Categoria:Sistema solare
Solar eclipse	Eclissi solare
Solar energy	Energia solare
Solar wind	Vento solare
Solid	Solido
Solid state	Solido
Solidarity	Solidarność
Solomon	Re Salomone
Solomon Islands	Isole Salomone
Solomon Islands	Categoria:Isole Salomone
Solon	Solone
Solstice	Solstizio
Solution	Soluto
Solvent	Solvente
Somalia	Somalia
Somalia	Categoria:Somalia
Somerset	Somerset
Somme	Somme (dipartimento francese)
Sonata	Sonata
Song	Canzone (musica)
Song of Solomon	Cantico dei cantici
Sonnet	Sonetto
Sophia Loren	Sophia Loren
Sophism	Sofistica
Sophocles	Sofocle
Soprano	Soprano
Sorbonne	Sorbona
Sorghum	Sorghum
Sorting algorithm	Algoritmo di ordinamento
Soul	Anima
Sound	Suono
Soup	Minestra
Source code	Codice sorgente
South	Sud
South Africa	Categoria:Sudafrica
South America	America meridionale
South America	Categoria:America meridionale
South Australia	Australia Meridionale
South Carolina	Carolina del Sud
South Carolina	Categoria:Carolina del Sud
South China Sea	Mar Cinese meridionale
South Dakota	Dakota del Sud
South Dakota	Categoria:Dakota del Sud
South Island	Isola del Sud
South Korea	Corea del Sud
South Korea	Categoria:Corea del Sud
South Pole	Polo Sud
South Vietnam	Vietnam del Sud
Southeast Asia	Sud-est asiatico
Southern Hemisphere	Emisfero australe
Sovereignty	Sovranità
Soviet Union	Unione Sovietica
Soviet Union	Categoria:Unione Sovietica
Soybean	Glycine max
Space	Spazio
Space Shuttle	Space Shuttle
Space station	Stazione spaziale
Spacecraft	Veicolo spaziale
Spaghetti	Spaghetti
Spain	Spagna
Spain	Categoria:Spagna
Spam (electronic)	Spam
Spanish Civil War	Guerra civile spagnola
Spanish people	Categoria:Spagnoli
Spanish-American War	Guerra ispano-americana
Sparta	Sparta
Spear	Lancia (arma)
Special relativity	Relatività ristretta
Species	Specie
Spectroscopy	Spettroscopia
Speed	Velocità media
Speed of light	Velocità della luce
Speleology	Speleologia
Spencer Tracy	Spencer Tracy
Sperm Whale	Physeter macrocephalus
Spermatophyte	Spermatophyta
Spermatozoon	Spermatozoo
Sphere	Sfera
Sphinx	Sfinge#Mitologia greca
Spice	Spezia (alimento)
Spider	Araneae
Spin (physics)	Spin
Spinach	Spinacia oleracea
Spinal cord	Midollo spinale
Spiral galaxy	Galassia spirale
Spleen	Milza
Split	Spalato
Sponge	Porifera
Sport	Sport
Spreadsheet	Foglio elettronico
Spree	Sprea
Spring (season)	Primavera
Springfield	Springfield (Illinois)
Spyware	Spyware
Squamata	Squamata
Square (geometry)	Quadrato (geometria)
Square metre	Metro quadro
Square root	Radice quadrata
Squash (sport)	Squash
Squirrel	scoiattolo
Sri Lanka	Sri Lanka
Sri Lanka	Categoria:Sri Lanka
St. Louis	Saint Louis (Missouri)
Stadium	Stadio
Stainless steel	Acciaio inox
Stalinism	Stalinismo
Standard Generalized Markup Language	Standard Generalized Markup Language
Standard deviation	Deviazione standard
Stanford University	Stanford University
Stanley Kubrick	Stanley Kubrick
Star	Stella
Star of David	Maghen David
Starch	Amido
Starfish	Asteroidea
State	Stato
Staten Island	Staten Island
Statistical mechanics	Meccanica statistica
Statistics	Statistica
Statistics	Categoria:Statistica
Statue of Liberty	Statua della Libertà
Stavanger	Stavanger
Steam	Vapore
Steam engine	Motore a vapore
Steel	Acciaio
Stefan Zweig	Stefan Zweig
Steffi Graf	Steffi Graf
Stegosaurus	Stegosaurus
Stem cell	Cellula staminale
Stendhal	Stendhal
Stephen Hawking	Stephen Hawking
Steppe	Steppa
Steradian	Steradiante
Sternum	Sterno
Steroid	Steroide
Steven Spielberg	Steven Spielberg
Sting	Sting
Stock exchange	Borsa valori
Stockholm	Stoccolma
Stoicism	Stoicismo
Stomach	Stomaco
Stone Age	Età della pietra
Stonehenge	Stonehenge
Stork	Ciconiidae
Storm	Tempesta
Strait	Stretto
Strait of Gibraltar	Stretto di Gibilterra
Strait of Hormuz	Stretto di Hormuz
Strait of Magellan	Stretto di Magellano
Strait of Messina	Stretto di Messina
Strasbourg	Strasburgo
Strategy	Strategia
Stratigraphy	Stratigrafia (geologia)
Stratosphere	Stratosfera
Strawberry	Fragaria
Stress (medicine)	Stress (medicina)
String theory	Teoria delle stringhe
Stroke	Ictus
Strong interaction	Forza nucleare forte
Strontium	Stronzio
Structuralism	Strutturalismo (filosofia)
Stub	Template:S
Student	Studente
Stupa	Stupa
Sturmabteilung	Sturmabteilung
Stuttgart	Stoccarda
Styx	Stige (fiume)
Sub-Saharan Africa	Africa subsahariana
Subculture	Subcultura
Sublimation (chemistry)	Sublimazione
Submarine	Sottomarino
Subset	Sottoinsieme
Subtraction	Sottrazione
Subversion (software)	Subversion
Sucre	Sucre (città)
Sucrose	Saccarosio
Sudan	Sudan
Sudan	Categoria:Sudan
Sudoku	Sudoku
Suez Canal	Canale di Suez
Suffix	Suffisso
Sufism	Sufismo
Sugar	Zucchero
Suharto	Suharto
Sukarno	Sukarno
Sulawesi	Sulawesi
Sulfur	Zolfo
Sulfur dioxide	Diossido di zolfo
Sulfur mustard	Iprite
Sulfuric acid	Acido solforico
Sultan	Sultano
Sumatra	Sumatra
Sumer	Sumeri
Summer	Estate
Sumo	Sumo
Sun	Sole
Sun	Categoria:Sole
Sun Yat-sen	Sun Yat-sen
Sunday	Domenica
Sundial	Meridiana
Sunflower	Helianthus annuus
Sunni Islam	Sunnismo
Sunspot	Macchia solare
Supercomputer	Supercomputer
Superconductivity	Superconduttività
Superman	Superman
Supernova	Supernova
Supreme Court of the United States	Corte Suprema degli Stati Uniti
Sura	Sura
Surface tension	Tensione superficiale
Surgeon	Chirurgia
Surgery	Chirurgia
Suriname	Suriname
Suriname	Categoria:Suriname
Surrealism	Surrealismo
Surrey	Surrey
Susan Sontag	Susan Sontag
Sushi	Sushi
Suva	Suva
Svalbard	Isole Svalbard
Swallow	Hirundinidae
Swan	Cygnus (uccelli)
Swastika	Svastica
Swaziland	Swaziland
Swaziland	Categoria:Swaziland
Sweden	Svezia
Sweden	Categoria:Svezia
Swedish krona	Corona svedese
Sweet potato	Ipomoea batatas
Swimming	Nuoto
Swimming	Categoria:Nuoto
Swiss franc	Franco svizzero
Swiss people	Categoria:Svizzeri
Switzerland	Svizzera
Switzerland	Categoria:Svizzera
Sword	Spada (arma)
