# English-Russian translations created from the Universal dictionary at 2011-04-05T14:49:10-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 April ; Apr 	 апрель 	 time 
 doubt 	 сомневаться 	 verb 
 doubt ; uncertainty ; incertitude ; dubiety ; doubtfulness ; dubiousness 	 сомнение ; неуверенность 	 communication 
 down 	 понизу 	 adjective 
 down ; downwards ; downward ; downwardly 	 книзу ; вниз 	 adverb 
 drawer 	 ящик 	 house 
 drink ; imbibe 	 пить 	 verb 
 drive 	 водить 	 verb 
 drop ; drib ; driblet 	 капля 	 object 
 dry 	 сухой 	 adjective 
 dry ; dry out 	 высоцхнуть 	 verb 
 dry ; dry out 	 высушить 	 verb 
 during 	 в течение 	 preposition 
 dust 	 пыль 	 material 
 duty 	 повинность 	 abstract 
 dwelling ; home ; domicile ; abode ; habitation ; dwelling house 	 дом 	 house 
 each 	 каждый 	 adjective 
 ear 	 ухо 	 anatomy 
 earlier ; before 	 вперед 	 adverb 
 early 	 ранний ; скорый 	 adjective 
 early on ; early 	 скоро 	 adverb 
 earth ; ground 	 земля 	 material 
 east 	 восточный 	 adjective 
 east ; due east ; eastward ; E 	 выход 	 logistics 
 easy 	 лёгкий 	 adjective 
 eat 	 есть 	 verb 
 economic 	 экономический 	 adjective 
 economic ; economical 	 экономический 	 adjective 
 economy ; economic system 	 хозяйство ; экономика 	 business 
 edge ; border 	 кромка ; край 	 mathematics 
 education 	 воспитание 	 society 
 education 	 образование 	 education 
 education ; instruction ; teaching ; pedagogy ; didactics ; educational activity 	 образование 	 education 
 effort ; elbow grease ; exertion ; travail ; sweat 	 старание 	 abstract 
 egg 	 яйцо 	 food 
 eight ; 8 ; viii 	 восемь 	 number 
 eighteen ; 18 ; xviii 	 восемнадцать 	 number 
 eighth ; 8th 	 восьмой 	 number 
 eighty ; 80 ; lxxx ; fourscore 	 восемьдесят 	 number 
 either 	 либо 	 adverb 
 election 	 выборы 	 mathematics 
 electric ; electrical 	 электрический 	 adjective 
 elementary ; simple ; uncomplicated ; unproblematic 	 простой 	 adjective 
 elephant 	 слон 	 animal 
 elevator ; lift 	 лифт 	 device 
 eleven ; 11 ; xi 	 одиннадцать 	 number 
 eleventh ; 11th 	 одиннадцатый 	 number 
 embrace ; encompass ; comprehend ; cover 	 заключать в себе ; охватывать 	 verb 
 encourage 	 ободрить 	 verb 
 end ; stop ; finish ; terminate ; cease 	 кончать 	 verb 
 end ; terminal 	 конец 	 abstract 
 energy ; free energy 	 энергия 	 nature 
 engine 	 двигатель 	 device 
 engineering ; engineering science ; applied science ; technology 	 технология 	 abstract 
 enhance ; heighten ; raise 	 увеличить 	 verb 
 enjoy ; bask ; relish ; savor ; savour 	 радоваться 	 verb 
 enough ; plenty 	 довольно 	 adverb 
 enter ; come in ; get into ; get in ; go into ; go in ; move into 	 вступить 	 verb 
 entertainment ; amusement 	 веселье ; развлечение ; забава ; увеселение 	 art 
 entirely ; exclusively ; solely ; alone ; only 	 сам 	 adverb 
 entitle ; title 	 назвать 	 verb 
 envelope 	 конверт 	 object 
 environment 	 окружение 	 nature 
 environment ; environs ; surroundings ; surround 	 среда ; окружающая среда 	 nature 
 equal 	 равный ; одинаковый 	 adjective 
 equally ; as ; every bit 	 как 	 adverb 
 erstwhile ; former ; old ; onetime ; one-time ; quondam ; sometime 	 бывший 	 adjective 
 especial ; exceptional ; particular ; special 	 особенный 	 adjective 
 establish ; found ; plant ; constitute ; institute 	 основать 	 verb 
 estimate ; gauge ; approximate ; guess ; judge 	 оценить 	 verb 
 estrus ; oestrus ; heat ; rut 	 гон 	 nature 
 even 	 даже 	 adverb 
 even 	 чётный 	 adjective 
 even ; fifty-fifty 	 ровный 	 adjective 
 evening ; eve ; even ; eventide 	 вечер 	 time 
 event 	 событие 	 abstract 
 event ; case 	 случай 	 abstract 
 every 	 каждый 	 adjective 
 everything 	 все 	 pronoun 
 evidence 	 улика 	 abstract 
 examination ; exam ; test 	 экзамен 	 communication 
 example ; illustration ; instance ; representative 	 пример 	 communication 
 exceed ; transcend ; overstep ; pass ; go past ; top 	 преодолеть 	 verb 
 excellent ; first-class ; fantabulous ; splendid 	 замечательный 	 adjective 
 exist ; be 	 быть 	 verb 
 exit ; go out ; get out ; leave 	 уйти 	 verb 
 expect ; look ; await ; wait 	 ждать 	 verb 
 experience 	 впечатление 	 communication 
 experience 	 опыт 	 society 
 expert 	 специалист 	 profession 
 explain ; explicate 	 объяснять 	 verb 
 express ; limited 	 экспресс 	 transport 
 express ; state 	 выразить 	 verb 
 expression ; look ; aspect ; facial expression ; face 	 вид ; взгляд 	 communication 
 eye ; oculus ; optic 	 глаз 	 anatomy 
 fabric ; cloth ; material ; textile 	 ткань 	 material 
 face ; human face 	 лицо 	 anatomy 
 fact 	 факт 	 abstract 
 factory ; mill ; manufacturing plant ; manufactory 	 завод 	 city 
 fail ; neglect 	 запустить 	 verb 
 fake ; false ; faux ; imitation ; simulated 	 фальшивый 	 adjective 
 fall 	 падать ; упасть 	 verb 
 fall ; autumn 	 осень 	 nature 
 false 	 неправильный 	 adjective 
 false ; mistaken 	 ошибочный 	 adjective 
 family ; family unit 	 семья 	 family 
 family ; household ; house ; home ; menage 	 семья 	 family 
 far 	 далёкий 	 adjective 
 farm 	 ферма 	 nature 
 fast 	 быстрый 	 logistics 
 fat 	 жир 	 material 
 fat 	 толстый 	 adjective 
 father ; male parent ; begetter 	 папа ; отец 	 family 
 fatty ; fat 	 жирный 	 adjective 
 fear 	 бояться 	 verb 
 fear ; fearfulness ; fright 	 страх 	 relations 
 feather ; plume ; plumage 	 перо 	 object 
 feature ; characteristic 	 способность 	 abstract 
 feel ; experience 	 ощущать ; чуствовать 	 verb 
 feel ; sense 	 чувствовать 	 verb 
 feeling 	 ощущение 	 communication 
 female 	 женский 	 adjective 
 female ; female person 	 женщина 	 society 
 few 	 немного ; мало 	 adjective 
 fiddling ; footling ; lilliputian ; little ; niggling ; piddling ; piffling ; petty ; picayune ; trivial 	 малый 	 adjective 
 field 	 поле 	 nature 
 fierce ; tearing ; vehement ; violent ; trigger-happy 	 резкий 	 adjective 
 fifteen ; 15 ; xv 	 пятнадцать 	 number 
 fifth ; 5th 	 пятый 	 number 
 fifty ; 50 ; l 	 пятьдесят 	 number 
 fight ; fighting ; combat ; scrap 	 борьба 	 abstract 
 fill ; fill up ; make full 	 наполнить 	 verb 
 film ; cinema ; celluloid 	 фильм 	 object 
 find ; regain 	 находить 	 verb 
 finger 	 палец 	 anatomy 
 finish ; destination ; goal 	 цель 	 abstract 
 fire 	 огонь ; пожар 	 nature 
 fire ; flame ; flaming 	 огонь ; пламя 	 nature 
 firm ; house ; business firm 	 фирма ; торговый дом 	 business 
 firm ; solid 	 твёрдый ; жёсткий 	 adjective 
 first 	 первый 	 adjective 
 first ; 1st 	 первый 	 number 
 first ; firstly ; foremost ; first of all ; first off 	 сначала 	 adverb 
 fiscal ; financial 	 финансовый 	 adjective 
 fish 	 рыба 	 animal 
 five ; 5 ; v 	 пять 	 number 
 fix ; prepare ; set up ; ready ; gear up ; set 	 приготовить 	 verb 
 fixed 	 данный ; установленный 	 adjective 
 flag 	 флаг 	 object 
 flat ; level ; plane 	 плоский 	 adjective 
 flight ; flying 	 летание ; полёт 	 transport 
 flim-flam ; play a joke on ; play tricks ; trick ; fob ; fox ; pull a fast one on ; play a trick on 	 обмануть 	 verb 
 floor ; flooring 	 настил ; пол 	 house 
 floor ; level ; storey ; story 	 этаж 	 house 
 flower 	 цветок 	 nature 
 flush ; level ; even out ; even 	 выравнить 	 verb 
 fly 	 муха 	 animal 
 fly ; wing 	 летать 	 verb 
 fold ; crease ; plication ; flexure ; crimp ; bend 	 загиб 	 object 
 follow 	 следовать 	 verb 
 following ; next 	 следующий 	 adjective 
 food ; nutrient 	 блюдо ; питание 	 food 
 foot ; human foot ; pes 	 подошва 	 anatomy 
 football ; football game 	 футбол 	 sports 
 footing ; basis ; ground 	 основа ; база 	 mathematics 
 footstep ; pace ; step ; stride 	 шаг ; поступь 	 mathematics 
 for 	 ибо 	 conjunction 
 force ; forcefulness ; strength 	 сила 	 abstract 
 foreign ; strange 	 иностранный 	 adjective 
 forest ; wood ; woods 	 лес 	 nature 
 forget 	 забыть ; забывать 	 verb 
 forgive 	 простить 	 verb 
 fork 	 вилка 	 food 
 form 	 формуляр 	 society 
 form ; shape ; cast 	 конфигурация, форма 	 art 
 forty ; 40 ; xl ; twoscore 	 сорок 	 number 
 forward ; forwards ; frontward ; frontwards ; forrad ; forrard 	 вперёд 	 adverb 
 four ; 4 ; iv 	 четыре 	 number 
 fourteen ; 14 ; xiv 	 четырнадцать 	 number 
 fourth ; 4th ; quaternary 	 четвёртый 	 number 
 fourth dimension ; time 	 время 	 physics 
 frame 	 рамка 	 object 
 free 	 свободный 	 adjective 
 free ; liberate ; release ; unloose ; unloosen ; loose 	 освободить 	 verb 
 frequent 	 частый 	 adjective 
 frequently ; often ; oftentimes ; oft ; ofttimes 	 часто 	 adverb 
 fresh 	 свежий 	 adjective 
 friend 	 друг 	 family 
 friendly 	 дружеский 	 adjective 
 front 	 передний 	 adjective 
 front ; front end ; forepart 	 передняя часть 	 abstract 
 fruit 	 фрукты 	 food 
 full 	 полный 	 adjective 
 full ; total 	 весь ; целый 	 adjective 
 fume ; smoke 	 коптить 	 verb 
 function ; office ; part ; role 	 функция 	 mathematics 
 function ; purpose ; role ; use 	 намерение ; цель 	 linguistics 
 function ; work ; operate ; go ; run 	 обрабатывать 	 verb 
 furniture ; piece of furniture ; article of furniture 	 мебель 	 house 
 further ; farther 	 дальше 	 adjective 
 future 	 будущий 	 adjective 
 future ; hereafter ; futurity ; time to come 	 будущее 	 time 
 gamble ; chance ; risk ; hazard ; take chances ; adventure ; run a risk ; take a chance 	 рисковать 	 verb 
 game 	 игра 	 mathematics 
 game 	 игра 	 sports 
 garage 	 гараж 	 transport 
 garden 	 сад 	 house 
 gate 	 ворота ; калитка 	 house 
 gene ; cistron ; factor 	 ген 	 anatomy 
 general 	 всеобщий ; общий 	 adjective 
 general ; full general 	 генерал 	 profession 
 get ; acquire 	 получить 	 verb 
 get down ; begin ; get ; start out ; start ; set about ; set out ; commence 	 начинаться 	 verb 
 get up 	 встать 	 verb 
 girl ; miss ; missy ; young lady ; young woman ; fille 	 девушка ; девочка 	 family 
 girlfriend ; girl ; lady friend 	 девочка ; поклонница 	 family 
 give 	 давать 	 verb 
 glass 	 стекло 	 material 
 glass ; drinking glass 	 стакан 	 food 
 glue ; gum ; mucilage 	 клей 	 material 
 glue ; paste 	 клеить 	 verb 
 gluey ; glutinous ; gummy ; mucilaginous ; pasty ; sticky ; viscid ; viscous 	 клейкий 	 adjective 
 goal 	 гол 	 sports 
 goat ; caprine animal 	 козёл ; коза 	 animal 
 gold ; Au ; atomic number 79 	 золото 	 material 
 golf ; golf game 	 гольф 	 travelling 
 good 	 хороший ; хорошо 	 adjective 
 good ; goodness 	 добро 	 abstract 
 good ; just ; upright 	 честный 	 adjective 
 good ; sound 	 здоровый 	 adjective 
 good ; well 	 хороший ; хорошая 	 adjective 
 govern ; rule 	 править 	 verb 
 government ; authorities ; regime 	 правительство 	 society 
 gradient ; slope 	 склон 	 mathematics 
 grain 	 зерно 	 material 
 grandfather ; gramps ; granddad ; grandad ; granddaddy ; grandpa 	 дедушка 	 family 
 grass 	 трава 	 nature 
 gray ; grayness ; grey ; greyness 	 серый 	 color 
 great 	 большой ; великий 	 adjective 
 green ; greenish ; light-green ; dark-green 	 зелёный 	 color 
 grey ; gray ; greyish ; grayish 	 серый 	 adjective 
 group ; grouping 	 группа 	 abstract 
 grow 	 расти 	 verb 
 guest ; invitee 	 гость 	 travelling 
 guitar 	 гитара 	 object 
 gun 	 оружие 	 object 
 hair 	 волосы 	 anatomy 
 hair ; pilus 	 волос ; ворс 	 anatomy 
 hammer 	 молоток 	 object 
 hand ; manus ; mitt ; paw 	 рука 	 anatomy 
 handle ; grip ; handgrip ; hold 	 ручка 	 object 
 hapless ; miserable ; misfortunate ; pathetic ; piteous ; pitiable ; pitiful ; poor ; wretched 	 жалкий ; жалобный 	 adjective 
 happen ; hap ; go on ; pass off ; occur ; pass ; fall out ; come about ; take place 	 случиться 	 verb 
 happy 	 счастливый 	 adjective 
 hash out ; discuss ; talk over 	 дискутировать 	 verb 
 hat ; chapeau ; lid 	 шляпа 	 clothes 
 hate ; detest 	 ненавидеть 	 verb 
 hate ; hatred 	 ненависть 	 relations 
 hateful ; mean 	 скверный 	 adjective 
 have ; have got ; hold 	 иметь 	 verb 
 hazard ; jeopardy ; peril ; risk ; endangerment 	 риск 	 transport 
 head ; caput 	 голова 	 anatomy 
 head ; chief ; top dog 	 шеф 	 society 
 health 	 здоровье 	 abstract 
 health ; wellness 	 здоровье 	 medicine 
 healthy 	 здоровый 	 adjective 
 healthy ; salubrious ; good for you 	 здоровый 	 adjective 
 hear 	 слышать 	 verb 
 heart ; pump ; ticker 	 сердце 	 anatomy 
 heavy 	 трудный 	 adjective 
 heed ; mind ; listen 	 заботиться 	 verb 
 hello ; hullo ; hi ; howdy ; how-do-you-do 	 привет 	 linguistics 
 help ; aid 	 помочь 	 verb 
 help ; assist ; aid 	 помочь 	 verb 
 her 	 её 	 pronoun 
 here 	 здесь ; тут 	 adverb 
 here ; hither 	 сюда 	 adverb 
 herself 	 себе 	 pronoun 
 high 	 высокий 	 adjective 
 hill 	 взгорье ; холм 	 nature 
 him 	 его 	 pronoun 
 himself 	 себя 	 pronoun 
 his 	 его 	 pronoun 
 historic period ; age 	 возраст 	 time 
 history 	 история 	 society 
 hit ; hitting ; striking 	 удар 	 abstract 
 hit ; smash ; smasher ; strike ; bang 	 хит 	 art 
 hog ; pig ; grunter ; squealer ; Sus scrofa 	 свинья 	 animal 
 hold ; take hold 	 держать 	 verb 
 hole 	 дыра 	 abstract 
 home ; place 	 жилище ; дом 	 house 
 homo ; man ; human being ; human 	 лицо ; человек 	 family 
 hook ; claw 	 крючок 	 object 
 hope 	 надеяться 	 verb 
 horse ; Equus caballus 	 лошадь ; конь 	 animal 
 hospital ; infirmary 	 больница 	 city 
 hot 	 горячий 	 adjective 
 hotel 	 гостиница ; отель 	 city 
 hotness ; heat ; high temperature 	 жара 	 medicine 
 hour ; hr ; 60 minutes 	 час 	 time 
 house 	 дом 	 house 
 however ; nevertheless ; withal ; still ; yet ; all the same ; even so ; nonetheless ; notwithstanding 	 хотя 	 adverb 
 human 	 гуманный 	 adjective 
 humor ; humour ; sense of humor ; sense of humour 	 юмор 	 communication 
 hundred ; one hundred ; 100 ; c 	 сто 	 number 
 hungry 	 голодный 	 adjective 
 hurt ; injure 	 ранить 	 verb 
 husband ; hubby ; married man 	 муж 	 family 
 ice 	 лёд 	 nature 
 ice ; water ice 	 лёд 	 material 
 idea ; thought 	 мысль 	 communication 
 identify ; place 	 опознать 	 verb 
 if 	 если 	 conjunction 
 ill ; sick 	 больной 	 adjective 
 image 	 имидж 	 art 
 imitate ; copy ; simulate 	 подражать 	 verb 
 immediately ; instantly ; straightaway ; straight off ; directly ; now ; right away ; at once ; forthwith ; like a shot 	 немедленно 	 adverb 
 impatient 	 нетерпеливый 	 adjective 
 imperial ; majestic ; purple ; regal ; royal 	 королевский 	 adjective 
 imply ; involve 	 включать 	 verb 
 important ; of import 	 важный 	 adjective 
 in ; inwards ; inward 	 внутрь ; в ; до 	 adverb 
 inaugural ; initiative ; initiatory ; first ; maiden 	 начальный 	 adjective 
 include 	 включить 	 verb 
 income 	 оклад ; заработок ; плата 	 business 
 incorporate ; contain ; comprise 	 заключать в себе ; охватывать 	 verb 
 incorrect ; wrong 	 неправильный 	 adjective 
 increase 	 увеличивать(ся) 	 verb 
 increase ; increment 	 прирост 	 abstract 
 increase ; increment ; growth 	 рост 	 abstract 
 indeed ; so 	 действительно ; серьезно 	 adverb 
 individual 	 индивидуум 	 society 
 individual ; private 	 единочный 	 adjective 
 induce ; stimulate ; cause ; have ; get ; make 	 побудить 	 verb 
 industrial 	 промышленный ; индустриальный 	 adjective 
 industry ; manufacture 	 промышленность 	 society 
 infinitesimal ; minute 	 небольшой 	 adjective 
 information 	 сведениe ; информация 	 communication 
 information ; info 	 сведениe ; информация 	 communication 
 injure ; wound 	 ранить 	 verb 
 ink 	 чернила 	 material 
 inquiry ; enquiry ; research 	 обследование 	 abstract 
 insect 	 насекомые 	 animal 
 inside ; within 	 внутри 	 adverb 
 institution ; establishment 	 учреждение 	 society 
 instrument 	 инструмент ; орудие 	 device 
 insurance 	 страховка 	 business 
 intelligent 	 разумный ; интеллигентный 	 adjective 
 intend ; mean ; think 	 замышлять 	 verb 
 interest 	 процент 	 business 
 interest ; involvement 	 интерес 	 communication 
 interesting 	 интересный 	 adjective 
 international 	 международный 	 adjective 
 internet ; net ; cyberspace 	 интернет 	 mathematics 
 interview 	 разговор ; беседа ; диалог 	 communication 
 into 	 в 	 preposition 
 introduce ; innovate 	 привести 	 verb 
 introduce ; present ; acquaint 	 представить 	 verb 
 invention ; innovation ; excogitation ; conception ; design 	 изобретение ; измышление ; вымысел 	 art 
 iron ; Fe ; atomic number 26 	 железо 	 material 
 island 	 остров 	 nature 
 issue 	 проблема 	 communication 
 issue ; number 	 номер ; выпуск 	 mathematics 
 it 	 это 	 pronoun 
 its 	 его 	 pronoun 
 itself 	 себя 	 pronoun 
 jacket 	 куртка ; пиджак 	 clothes 
 jewel ; gem ; precious stone 	 драгоценность 	 object 
 job ; task ; chore 	 дело ; труда ; работа 	 business 
 join ; bring together 	 соединить(ся) 	 verb 
 jolt ; jar ; jounce ; shock 	 удар 	 transport 
 journalist 	 журналист ; газетный сотрудник 	 profession 
 journey ; journeying 	 поездка 	 transport 
 judge ; justice ; jurist 	 судья 	 profession 
 jump ; leap ; bound ; spring 	 прыгать ; скакать 	 verb 
 just 	 справедливый 	 adjective 
 keep ; maintain ; hold 	 сохранить 	 verb 
 kernel ; substance ; core ; center ; centre ; essence ; gist ; heart ; heart and soul ; inwardness ; marrow ; meat ; nub ; pith ; sum ; nitty-gritty 	 суть 	 abstract 
 key 	 клавиша 	 object 
 key 	 ключ 	 house 
 kick 	 лягнуть 	 verb 
 kick ; boot ; kicking 	 пинок 	 abstract 
 kill 	 убить 	 verb 
 kind 	 любезный 	 adjective 
 kind ; sort ; form ; variety 	 вид 	 abstract 
 king ; male monarch ; Rex 	 король 	 society 
 kiss ; buss ; osculation 	 поцелуй 	 relations 
 kitchen 	 кухня 	 house 
 knee ; knee joint ; human knee ; articulatio genus ; genu 	 колено 	 anatomy 
 knife 	 нож 	 food 
 knot 	 узел 	 object 
 know ; cognize ; cognise 	 знать 	 verb 
 laid ; set 	 установленный 	 adjective 
 lake 	 озеро 	 nature 
 land ; dry land ; earth ; ground ; solid ground ; terra firma 	 земля ; почва 	 nature 
 land ; ground ; soil 	 почва ; земля 	 material 
 land ; set down 	 приземлиться 	 verb 
 language ; linguistic communication 	 язык 	 communication 
 language ; speech 	 речь 	 linguistics 
 large ; big 	 крупный ; большой 	 adjective 
 last 	 прошлый 	 adjective 
 last ; lastly ; in conclusion ; finally 	 наконец 	 adverb 
 late 	 опоздавший 	 adjective 
 late ; belatedly ; tardily 	 поздно 	 adverb 
 late ; later 	 поздний 	 adjective 
 laugh ; express joy ; express mirth 	 смеяться 	 verb 
 law 	 закон 	 society 
 lead ; Pb ; atomic number 82 	 свинец 	 material 
 lead ; head 	 вести 	 verb 
 lead ; take ; direct ; conduct ; guide 	 завести 	 verb 
 leader 	 лидер 	 society 
 leaf ; leafage ; foliage 	 листва 	 nature 
 leap ; jump ; saltation 	 скачок ; прыжок 	 abstract 
 learn ; larn ; acquire 	 учить(ся) 	 verb 
 least ; to the lowest degree 	 наименее 	 adverb 
 leather 	 кожа 	 material 
 leave 	 оставить 	 verb 
 leave ; leave of absence 	 отпуск 	 society 
 left 	 левый 	 adjective 
 leg 	 нога 	 anatomy 
 legal 	 законный 	 adjective 
 less 	 меньший 	 adjective 
 let 	 оставить 	 verb 
 let ; allow ; permit 	 разрешить 	 verb 
 letter ; letter of the alphabet ; alphabetic character 	 буква 	 linguistics 
 letter ; missive 	 письмо 	 object 
 library 	 библиотека 	 city 
 lie 	 лгать 	 verb 
 lie 	 лежать 	 verb 
 lie ; prevarication 	 ложь 	 communication 
 life 	 жизнь 	 nature 
 life 	 жизнь 	 time 
 light 	 лёгкий 	 adjective 
 light ; lite ; low-cal ; calorie-free 	 диетический 	 adjective 
 light ; visible light ; visible radiation 	 свет 	 nature 
 like 	 любить 	 verb 
 like 	 нравиться ; любить 	 verb 
 like ; similar 	 подобный 	 adjective 
 limit ; bound ; boundary 	 граница ; лимит 	 mathematics 
 line 	 черта ; линия 	 mathematics 
 lion ; king of beasts ; Panthera leo 	 лев 	 animal 
 lip 	 губа 	 anatomy 
 liquid 	 жидкий 	 adjective 
 liquid 	 жидкость 	 nature 
 list ; listing 	 перечень 	 abstract 
 listen ; hear ; take heed 	 слушать 	 verb 
 little 	 немного ; мало 	 adverb 
 load ; charge 	 зарядить 	 verb 
 local 	 местный 	 adjective 
 lock 	 замкнуть 	 verb 
 lock 	 замок 	 house 
 long 	 длинный 	 adjective 
 long 	 длинный 	 adjective 
 look 	 смотреть 	 verb 
 look ; appear ; seem 	 казаться 	 verb 
 lookout ; lookout man ; sentinel ; sentry ; watch ; spotter ; scout ; picket 	 сторож 	 profession 
 lose 	 проиграть 	 verb 
 lose 	 терять 	 verb 
 loss 	 утрата ; пропадание ; урон 	 business 
 loud 	 громкий 	 adjective 
 love 	 любить 	 verb 
 love 	 любовь 	 relations 
 low 	 низкий ; невысокий 	 adjective 
 low ; depression 	 область низкого давления 	 nature 
 lucky 	 счастливый 	 adjective 
 lunch ; luncheon ; tiffin ; dejeuner 	 обед 	 food 
 machine 	 станок 	 device 
 magazine ; mag 	 журнал 	 object 
 mail ; mail service ; postal service ; post 	 почта 	 communication 
 mail ; post ; send 	 послать ; отправить 	 verb 
 major 	 главный 	 adjective 
 majority ; bulk 	 большинство 	 abstract 
 make ; create 	 творить 	 verb 
 make ; do 	 делать 	 verb 
 male 	 мужской 	 adjective 
 male ; male person 	 самец 	 society 
 male ; manful ; manlike ; manly ; virile 	 мужественный 	 adjective 
 male child ; boy 	 мальчик ; парень 	 family 
 man ; adult male 	 мужчина ; человек 	 family 
 manage ; deal ; care ; handle 	 вести 	 verb 
 management 	 управление ; менеджмент 	 business 
 management ; direction 	 руководство ; предводительство 	 society 
 manner ; mode ; style ; way ; fashion 	 способ ; метод ; стиль 	 mathematics 
 many 	 много 	 adjective 
 map 	 карта 	 object 
 mark ; grade ; score 	 отметка 	 education 
 marker ; marking ; mark 	 марка 	 abstract 
 market ; marketplace ; market place 	 рынок ; базар 	 business 
 marriage ; matrimony ; union ; spousal relationship ; wedlock 	 брак 	 society 
 marriage ; wedding ; marriage ceremony 	 брак 	 family 
 married 	 женатый 	 adjective 
 marry ; get married ; wed ; conjoin ; hook up with ; get hitched with ; espouse 	 жениться 	 verb 
 mass 	 масса 	 physics 
 master ; master copy ; original 	 оригинал 	 object 
 match 	 матч 	 sports 
 match ; fit ; correspond ; check ; jibe ; gibe ; tally ; agree 	 сходиться 	 verb 
 match ; lucifer ; friction match 	 спичка 	 object 
 material 	 материальный 	 adjective 
 material ; stuff 	 материал 	 material 
 matter 	 вещество 	 material 
 matter ; affair ; thing 	 дело 	 abstract 
 me 	 меня 	 pronoun 
 meal ; repast 	 блюдо ; еда 	 food 
 mean 	 обозначать 	 verb 
 mean ; intend 	 думать 	 verb 
 mean ; mean value 	 среднее 	 mathematics 
 meaning ; pregnant ; significant 	 важный 	 adjective 
 means ; agency ; way 	 способ 	 abstract 
 measure ; mensurate ; measure out 	 мерить 	 verb 
 measure ; step 	 мероприятия 	 abstract 
 measurement ; measuring ; measure ; mensuration 	 измерение 	 art 
 meat 	 мясо 	 food 
 medical 	 лечебный 	 adjective 
 meet ; run into ; encounter ; run across ; come across ; see 	 встречать(ся) 	 verb 
 meeting ; coming together 	 встреча 	 communication 
 member ; fellow member 	 член 	 society 
 memory 	 воспоминание 	 communication 
 memory ; retention ; retentiveness ; retentivity 	 память 	 communication 
 menstruation ; menses ; menstruum ; catamenia ; period ; flow 	 менструация 	 medicine 
 mention ; advert ; bring up ; cite ; name ; refer 	 цитировать 	 verb 
 menu ; bill of fare ; card ; carte du jour ; carte 	 меню 	 object 
 merely ; simply ; just ; only ; but 	 просто ; только 	 adverb 
 metallic ; metal 	 металлический 	 adjective 
 metallic element ; metal 	 металл 	 material 
 method 	 способ ; метод 	 mathematics 
 metro ; tube ; underground ; subway system ; subway 	 метро 	 transport 
 midnight 	 полночь 	 time 
 might ; mightiness ; power 	 сила 	 abstract 
 military 	 военный 	 adjective 
 military ; armed forces ; armed services ; military machine ; war machine 	 армия 	 society 
 milk 	 молоко 	 food 
 milkshake ; milk shake ; shake 	 коктейль 	 food 
 million ; 1000000 ; one thousand thousand ; meg 	 миллион 	 number 
 mind ; head ; brain ; psyche ; nous 	 ум, мысль 	 mathematics 
 mine 	 шахта 	 object 
 minister ; government minister 	 министр 	 profession 
 minor ; modest ; small ; small-scale ; pocket-size ; pocket-sized 	 малый 	 adjective 
 minute ; min 	 минута 	 time 
 mirror 	 зеркало 	 house 
 miss 	 промахнуться 	 verb 
 miss 	 упустить 	 verb 
 mistake ; error ; fault 	 ошибка 	 communication 
 mod ; modern ; modernistic 	 современный 	 adjective 
 model 	 модель ; макет 	 object 
 modern 	 современный 	 adjective 
 moisture ; wet 	 влажность 	 nature 
 moment ; minute ; second ; instant 	 момент ; мгновение 	 mathematics 
 moment ; mo ; minute ; second ; bit 	 момент ; миг 	 time 
 money 	 деньги 	 business 
 money 	 деньги 	 transport 
 monkey 	 обезьяна 	 animal 
 month 	 месяц 	 transport 
 more ; more than 	 более ; болше 	 adjective 
 more ; to a greater extent 	 более ; болше 	 adverb 
 morning ; morn ; morning time ; forenoon 	 утро 	 time 
 mother ; female parent 	 мамочка 	 family 
 motion ; movement ; move ; motility 	 движение 	 physics 
 mountain ; mount 	 гора 	 nature 
 mouth 	 рот 	 anatomy 
 mouth ; oral cavity ; oral fissure ; rima oris 	 уста ; рот 	 anatomy 
 move ; displace 	 двигать 	 verb 
 movement ; motion 	 движение 	 physics 
 movie ; film ; picture ; moving picture ; moving-picture show ; motion picture ; motion-picture show ; picture show ; pic ; flick 	 фильм ; кинокартина 	 art 
 much 	 много 	 adjective 
 muscle ; musculus 	 мускул ; мышца 	 anatomy 
 museum 	 музей 	 city 
 music 	 музыка 	 art 
