-ible	-аемый
beg	просить
beg	умолять
begin	начать
behavior	поведение
behaviour	поведение
behind	за
behind	позади
behold	смотреть
being	(живое
being	существование
bell	колокол
belly	живот
belt	пояс
bench	скамейка
berkelium	беркелий
berry	:ry:ягода
beryllium	бериллий
best	лучший
better	лучше
between	между
beverage	напиток
biathlon	биатлон
bicycle	велосипед
bidet	биде
big	большой
big toe	большой палец
billiards	бильярды
billion	биллион
billion	триллион
billionaire	миллиардер
biochemistry	Биохимия
biography	биография
biological	биологический
biology	биология
birch	берёза
bird	птица
bird of prey	хищная птица
birthday	день рождения
birthmark	родинка
bishop	епископ
bishop	слон
bit	бит
bit	кусок
bitch	сука
bitter	горький
bittern	выпь
black	чёрный
black	негр
black grouse	тетерев
black hole	чёрная дыра
black woodpecker	желна
black-headed gull	Озерная чайка
blackberry	ежевика
blackbird	чёрный дрозд
blackboard	классная доска
blacksmith	кузнец
blade	лезвие
blanket	покрывало
bleed	кровоточить
bless	благославлять
bless you	будь здоров
blindness	слепота
blog	блог
blood	кровь
blood type	группа крови
bloody	окровавленный
bloody	кровавый
blow	дуть
blowjob	минет
blue	синий
blue whale	блювал
blueberry	голубика
boar	кабан
boar	хряк
board	доска
boat	лодка
body	тело
body	корпус
body	труп
bodybuilder	культурист
bodybuilding	культуризм
bohrium	борий
boil	кипятить
bold	смелый
bold	жирный
bomb	бомба
bon appétit	приятного аппетита
bone	кость
book	книга
book	забронировать
bookshop	книжный магазин
bookstore	книжный магазин
boot	ботинок
border	граница
bored	пробуренный
boredom	скука
boring	сверлильный
born	рожденный
boron	бор
both	оба
bottle	бутылка
bottle	бутылочка
bouquet	букет
bovine spongiform encephalopathy	сумашедшее заболевание коровы
bow	лук
bow	смычок
bow	нос
bow	кланяться
bow	поклон
bow	гнуться
bow	излучина
bowl	чаша
bowtie	бабочка
box	коробка
boxer	боксёр
boxing	бокс
boy	мальчик
boy	мужчина
boy	слуга
boy	ребята
bra	бюстгальтер
brain	мозг
brain stem	мозговой ствол
brake	тормоз
brake	тормозить
bran	отруб
branch	ветвь
branch	отделение
brass	латунь
brave	храбрейший
bravery	храбрость
bread	хлеб
break	разбивать
break	разбиваться
break	ломаться
break	ломать
break	наоушать
break	перерыв
breakfast	завтрак
breakfast	завтракать
breast	грудь
breed	плодиться
bribe	взятка
bribery	взяточничество
brick	кирпич
bride	невеста
bridegroom	жених
bridge	мост
bridge	бридж
bright	яркий
bright	умный
bring	принести
bromine	бром
bronze	бронза
bronze	бронзовый
broom	метла
broth	бульон
brothel	бардак
brother	брат
brother-in-law	зять
brother-in-law	шурин
brother-in-law	деверь
brown	коричневый
brown dwarf	коричневые карлики
brush	щётка
bucket	ведро
buckwheat	гречиха
bud	почка
buffalo	буйвол
buffalo	бизон
bug	насекомое
bug	баг
build	строить
building	здание
building	строительство
bulky	объемистый
bull	бык
bull	булла
bulldog	бульдог
bullet	пуля
bumblebee	шмель
burdock	лопух
bureaucracy	бюрократия
burn	гореть
burn	жечь
burn	ожог
burn	обжигать
burn	сжигание
bus	автобус
business card	визитная карточка
businessman	предприниматель
businesswoman	коммерсантка
bustard	дрофа
busybody	проныра
but	но
but	кроме
butcher	мясник
butter	сливочное масло
butter	намазывать
butter up	льстить
butterfly	бабочка
butterfly	баттерфляй
buttock	ягодица
button	пуговица
button	кнопка
buy	покупать
buzzard	канюк
by	около
by	к
by	по
by the way	кстати
bye	пока
byte	байт
cabbage	капуста
cable	трос
cactus	кактус
cadmium	кадмий
caesium	цезий
cake	торт
calcium	кальций
calculate	вычислять
calculator	калькулятор
calculus of variations	Вариационное исчисление
calendar	календарь
calf	телёнок
calf	икра
californium	калифорний
caliph	халиф
call	звать
call	звонок
call	крик
call	звонить
call	зов
call	кричать
call	зваться
callsign	позывной
camel	верблюд
camera	фотоаппарат
camouflage	камуфляж
campaign	кампания
can	мочь
can	бидон
can	консервная банка
can	лейка
can	консервировать
canary	кaнaрeйкa
cancer	рак
candidate	кандидат
candle	свеча
candlestick	канделябр
cane	трость
cane	тростник
cannabis	конопля
cannon	пушка
capercaillie	глухарь
capillary	капилляр
capital	столица
capital	капитал
capital	заглавная буква
capitalism	капитализм
car	машина
car	вагон
car	кабина
caramel	карамель
carbon	углерод
carbon	уголь
carbon	копировальная бумага
carbon dioxide	двуокись углерода
carbon monoxide	окись углерода
carboxylic acid	Карбоновые кислоты
cardinal	количественное числительное
cardinal	кардинал
cardinal	главный
cardinal	количественный
cardinal number	кардинальное число
cardinal number	мощность множества
cardinal number	количественное числительное
carefree	беззаботный
carp	карп
carpenter	плотник
carpet	ковëр
carrot	морковь
carry	нести
case	падеж
case	ящик
case	случай
case	судебное дело
cash	наличные
caste	каста
castle	ладья
castling	рокировка
castration	кастрация
cat	кот
cat	кошка
catalogue	каталог
catamaran	катамаран
catapult	катапульта
category	категория
caterpillar	гусеница
catfish	сом
cathedral	собор
catheter	катетер
cattle	скот
cauliflower	цветная капуста
cause	причинять
cave	подземелье
caviar	икра
cease	прекращать
cedar	кедр
cedilla	седиль
ceiling	потолок
celery	сельдерей
cell	клетка
cell	камера
cell	келья
cell phone	сотовый телефон
cellulose	целлюлоза
cemetery	кладбище
cenotaph	кенотаф
cent	цент
centimetre	сантиметр
century	столетие
century	центурия
ceramic	керамика
cerium	церий
chaffinch	зяблик
chain	цепь
chain	сеть
chair	стул
chalcedony	халцедон
chalk	мел
chamber	комната
chamois	серна
champagne	шампанское
chandelier	люстра
change	изменяться
change	изменять
change	заменять
channel	направлять
chaos	хаос
chaos theory	теория хаоса
chapter	глава
character	персонаж
character	характер
character	буква
charcoal	уголь
chase	гнаться
chase	погоня
chaulk	мел
cheap	дешёвый
cheap	низкопробный
check	шах
check	чек
check	счёт
checkmate	шах и мат
checksum	контрольная сумма
cheek	щека
cheers	за ваше здоровье
cheese	сыр
cheetah	гепард
chemical	химический
chemist	химик
cheque	чек
cherry	черешня
cherry	вишня
chess	шахматы
chessboard	шахматная доска
chest	грудь
chest	сундук
chestnut	каштан
chew	жевать
chewing gum	жевачка
chick	цыпленок
chick	птенец
chick	цыпочка
chicken	цыплёнок
chicken	курятина
chicken	трус
child	ребёнок
chimney	труба
chimpanzee	шимпанзе
chin	подбородок
chisel	долото
chlorine	хлор
chlorophyll	хлорофилл
chocolate	шоколад
chocolate	шоколадка
chocolate	шоколадный
choice	выбор
choose	выбирать
chord	аккорд
chromium	хром
chromosome	хромосома
church	церковь
cicada	цикада
cigar	сигара
cigarette	сигарета
cinema	кинотеатр
cinema	кинофильм
cinema	кино
cinnamon	корица
cinnamon	коричное дерево
circle	окружность
circle	круг
circle	орбита
circle	окружать
circle	кружиться
circle	кружить
circumference	длина окружности
circumstance	обстоятельство
city	город
city	городской
civil war	гражданская война
clarinet	кларнет
classification	классифицирование
claustrophobia	клаустрофобия
clay	глина
cleaver	большой
cliché	клише
client	клиент
cliff	скала
climb	подниматься
clitoris	клитор
clock	часы
clockwise	по часовой стрелке
close	закрывать
close	близкий
closed	закрытый
cloth	ткань
cloth	тряпка
clothes	одежда
cloud	облако
cloudberry	морошка
clove	гвоздика
clown	клоун
club	клуб
club	дубинка
club	трефа
clubs	трефы
coach	тренер
coal	уголь
coarse	грубый
coast	морской берег
coat	пальто
coat	слой
coat of arms	герб
cobalt	кобальт
cobra	кобра
cocaine	кокаин
cock	хуй
cock	петух
cock-a-doodle-doo	кукареку
cockroach	таракан
cocktail	коктейль
cocoa	какао порошок
cocoa	какао
coconut	кокос
cod	треска
code	код
coeliac disease	целиакия
coffee	кофе
coffee	кофейное дерево
coffee	кофейный
cognac	коньяк
coin	монета
cola	кола
cold	холодный
cold	простуда
cold	холод
cold fusion	холодный термоядерный синтез
collaborate	сотрудничать
collaborate	сотрудничать с врагом
collage	коллаж
collar	ворот
collarbone	ключица
colloquial	разговорный
colon	двоеточие
colon	ободочная кишка
colonel	полковник
colony	колония
colt	жеребёнок
comb	расчёска
comb	гребень
come	приходить
comet	комета
comfortable	удобный
comma	запятая
common	обычный
common	общий
common gull	чайка
common kestrel	пустельга обыкновенная
commonwealth	содружество
communism	коммунизм
communist	коммунист
communist	коммунистический
company	компания
comparative	сравнительный
compass	компас
complete	вполне
complete	завершить
complex	сложный
complex number	комплексное число
complexity	сложность
component	компонент
computer	компьютер
computer game	компьютерная игра
comrade	товарищ
concentration camp	концлагерь
concrete	бетон
concrete	бетонный
concrete	конкретный
condition	условие
condom	презерватив
conductor	дирижёр
conductor	проводник
conductor	кондуктор
conflagration	большой пожар
conflict	конфликт
conjunction	союз
connoisseur	знаток
conscious	сознающий
consonant	согласный
consonant	согласная
constellation	созвездие
consumption	потребление
contact	контактировать
contact	контакт
contact lens	контактный линз
contagion	инфекция
contemporary	современный
contempt	презрение
continent	материк
contract	контракт
contradict	противоречить
contradict	перечить
convex	выпуклый
cook	повар
cook	готовить
cook	готовиться
cooked	сваренный
cool	прохладный
coordinate	координаты
copper	медь
copper	медный
copra	копра
copy	копировать
copy	подражать
copy	принять
copyright	авторское право
cor anglais	английский рожок
coral	коралловый полип
core	ядро
corn	кукуруза
corner	угол
corporation	корпорация
corpse	труп
corridor	коридор
corset	грация
cotton	хлопок
cough	кашлять
cough	кашель
count	граф
count	считать
countess	графиня
country	страна
country	деревня
country	деревенский
coup d'état	путч
couple	пара
courage	мужество
cover	крышка
cover	прятать
cover	обложка
cow	корова
coward	трус
coyote	койот
crab	краб
cranberry	клюква
crane	журавль
crane	кран
crayfish	рак
crayon	цветной карандаш
crazy	сумасшедший
cream	сливки
create	создавать
creation	мироздание
creation	созидание
creative	творческий
creator	создатель
creep	ползти
cricket	сверчок
crisis	кризис
crocodile	крокодил
croissant	круассан
cross	крест
cross	пересекать
crossbow	арбалет
crow	ворона
crowbar	ломик
crown	корона
crude oil	сырая нефть
cruel	жестокий
crust	корка
cry	плакать
cry	плач
cry	кричать
cry	крик
crystal	кристалл
crystal	хрусталь
cub	детёныш
cube	куб
cube	возводить в куб
cubism	кубизм
cuckoo	кукушка
cucumber	огурец
culture	культура
cum	кончать
cunt	пизда
cup	чашка
cure	лечение
cure	вылечить
curiosity	любопытство
curium	кюрий
currant	смородина
currency	валюта
current	поток
current	ток
current	нынешний
curriculum vitae	резюме
curve	изгиб
cushion	подушка
customer	клиент
cyan	голубой цвет
cycle	цикл
cylinder	цилиндр
cymbal	цимбалы
cypress	кипарис
czar	царь
czarina	царица
dachshund	такса
daddy	папа
daffodil	жёлтый нарцисс
dagger	кинжал
daily	ежедневный
daily	ежедневно
dam	плотина
damage	повреждение
damage	повреждать
dance	танец
dancer	танцор
dandelion	одуванчик
dangerous	опасный
dare	сметь
dark	тёмный
dark	тьма
dark	темнота
dark	неведение
darkness	темнота
darmstadtium	дармштадтий
date	финик
date	дата
date	встреча
dative	дательный падеж
dative	дательный
dative case	дательный падеж
daughter	дочь
daughter-in-law	невестка
dawn	восход солнца
dawn	наступать
day	сутки
day	день
day after tomorrow	послезавтрашний
day after tomorrow	послезавтра
day before yesterday	позавчера
day before yesterday	позавчерашний
dead	мертвый
deadly nightshade	белладонна
deaf	глухой
death	смерть
debate	дебат
debate	дискутировать
debtor	должник
decade	десятилетие
decay	гнить
deceased	покойный
deceased	покойник
deceive	обманывать
declare	объявлять
declension	склонение
deed	поступок
deep	глубокий
deer	олень
defamation	диффамация
defeatism	пораженчество
defecate	испражняться
defendant	обвиняемый
definite article	определённый артикль
deism	деизм
delirium	делирий
democracy	демократия
democratic	демократический
den	нора
dentist	зубной врач
deodorant	Дезодорант
deoxyribonucleic acid	дезоксирибонуклеиновая кислота
depression	депрессия
description	описание
desert	пустыня
desert	дезертировать
design	конструкция
desire	желание
despise	презреть
destroy	разрушать
deuterium	дейтерий
development	развитие
devil	чёрт
devil	дьявол
dew	роса
dialect	диалект
dialectology	диалектология
diameter	диаметр
diamond	алмаз
diary	дневник
dick	хуй
dictionary	словарь
die	умирать
die	кость
difference	разница
difference	различие
difference	отличительная черта
different	другой
different	разный
difficult	трудный
digestion	пищеварение
digit	цифра
dill	укроп
dinner	ужин
dinosaur	динозавр
dirty	грязный
dirty	пачкать
discussion	обсуждение
disease	заболевание
disgust	отвращение
dish	тарелка
dish	блюдо
diskette	дискет
district	район
ditch	канава
division	деление
division	раздел
division	дивизия
do	делать
do you speak English	Вы говорите по-английски
dobra	Добра
doctor	доктор
dodo	додо
dog	собака
doll	кукла
dollar	доллар
dolphin	дельфин
donation	пожертвование
donkey	осёл
door	дверь
dormouse	соня полчок
dot	точка
double	двойной
doubt	сомнение
dough	тесто
doughnut	пончик
dove	голубь
down	ниже
dowry	приданое
doxology	доксология
dozen	дюжина
dragon	дракон
dragonfly	стрекоза
drastic	сильнодействующий (silnodéistvuiushy), ru
draw	рисовать
drawer	ящик
dream	сон
dream	видеть сон
dream	мечтать
dress	платье
dress	одевать
dress	одеваться
drink	пить
drink	напиток
drink	питьё
drive	ехать
driver	водитель
driver	драйвер
dromedary	дромадер
drone	трутень
drop	капля
drown	потонуть
drum	барабан
drunk	пьяный
drunk	пьяница
dry	сухой
dry	высыхать
dry	сушить
duchess	герцогиня
duck	утка
duckling	утёнок
dude	чувак
duke	герцог
dulcimer	дульцимер
duma	государственная дума
dune	дюна
dung	кал
dungeon	донжон
dust	пыль
duty	долг
duty	пошлина
dwarf	карлик
dwarf planet	карликовая планета
dynamics	динамика
e-mail	электронная почта
e.g.	напр.
each	каждый
eagle	орёл
eagle owl	филин
ear	ухо
ear	пахать
early	рано
earring	серьга
earth	земля
earth	заземлять
earthquake	землетрясение
earthworm	дождевой червь
earwax	сера
earwig	уховертка
east	восток
easy	лёгкий
eat	есть
ebb	отлив
ebony	чёрное дерево
echidna	ехидна
eclipse	затмение
eco-	эко-
ecology	экология
economics	эконóмика
economy	экономика
ecumenism	Экуменизм
eczema	экзема
edit	изменять
edition	издание
eel	угорь
egg	(''shelled egg'') яйцо
egg yolk	желток
ego	эго
eigenvalue	собственное значение
eight	восемь
eighteen	восемнадцать
eighth	восьмой
eighty	восемьдесят
eighty-eight	восемьдесят восемь
eighty-five	восемьдесят пять
eighty-four	восемьдесят четыре
eighty-nine	восемьдесят девять
eighty-one	восемьдесят один
eighty-seven	восемьдесят семь
eighty-six	восемьдесят шесть
eighty-three	восемьдесят три
eighty-two	восемьдесят два
elderberry	бузина
electricity	электричество
electromagnet	электромагнит
electromagnetism	электричество
electron	электрон
elegant	шикарный
elephant	слон
elevator	лифт
eleven	одиннадцать
eleventh	одиннадцатый
elf	эльф
elixir of life	жизненный эликсир
elk	лось
ellipse	эллипс
elm	вяз
embed	вделывать
embezzlement	хищение
embryo	зародыш
emerald	изумруд
emotion	эмоция
emperor	император
empire	империя
empty set	пустое множество
emu	эму
encephalopathy	энцефалопатия
encourage	ободрять
encyclopaedia	энциклопедия
encyclopedia	энциклопедия
end	конец
end	кончиться
end	окончать
enemy	враг
energy	энергия
engine	двигатель
engineer	инженер
engineer	машинист
english	russian
enigma	загадка
enough	достаточно
enter	входить
enthusiasm	энтузиазм
entropy	Энтропия
envelope	конверт
environment	среда
envy	зависть
ephemeral	эфемерный
epiglottis	надгортанник
epoch	эпоха
equation	уравнение
equator	экватор
equilibrium	равновесие
equinox	равноденствие
era	эра
ereyesterday	позавчера
ereyesterday	позавчерашний
ergative case	эргативный падеж
ergo	поэтому
ermine	горностай
erotic	эротический
escalator	эскалатор
eschatology	эсхатология
essay	эссе
establishment	основание
et cetera	и так далее
etc.	и т.д.
etcetera	и так далее
eternal	вечный
ethnic cleansing	этнические чистки
etymology	этимология
eucalyptus	эвкалипт
eukaryote	эукариота
eunuch	eвнух
euro	евро
euthanasia	эвтаназия
evacuate	эвакуировать
evacuation	опорожнение
even	даже
even	чётный
even	ровный
evening	вечер
eventually	в конце концов
every	каждый
everything	всё
everywhere	везде
evil	злой
evil	зло
evolution	эволюция
ewe	овца
exactly	точно
exaggerate	преувиличивать
example	Пример
excommunication	отлучение
excrement	кал
excuse me	Простите меня
exist	существовать
exit	выход
expensive	дорогой
experience	испытывать
experiment	эксперимент
explain	объяснить
expression	выражение
extensive	обширный
extraterrestrial	инопланетянин
eye	глаз
eye	ушко
eye	глазок
eyebrow	бровь
eyelash	ресница
eyelid	веко
face	лицо
face	грань
face	выражение лица
face	предстать
fact	факт
factorial	Факториал
factory	завод
faeces	испражнения
faggot	педик
failure	провал
fairy	фея
fairy tale	сказка
faith	вера
falcon	сокол
fall	падать
fall	падение
fall in love	влюбиться
fallow deer	лань
family	семья
family	семейство
family	род
family	семейный
fan	вентилятор
fan	веер
fan	болельщик
fang	клык
far	дальный
fare	плата за проезд
farm	ферма
farmer	крeстянин
fart	пердеть
fart	пердь
fast food	полуфабрикаты
fat	жирный
fat	жир
fat	толстый
fate	судьба
father	отец
father	святой
father-in-law	(''wife’s father-in-law'') свёкор
fatherland	отечество
fathom	морская сажень
faucet	кран
fault	ошибка
fawn	оленёнок
fax	факс
façade	фасад
fear	бояться
fear	страх
feather	перо
feature	особенность
feceate	испражняться
feces	испражнения
fee	гонорар
feed	кормить
feel	ощущать
feeling	чувство
feeling	ощущение
feeling	предчувствие
feeling	гордость
feeling	симпатия
female	женский
female	самка
feminine	женский
fence	забор
fermata	фермата
ferret	хорёк африканский
ferry	паром
fetus	плод
fever	лихорадка
few	немногий
fiasco	фиаско
field	пастбище
field	поле
field	область
fifteen	пятнадцать
fifth	пятый
fifty	пятьдесят
fifty-eight	пятьдесят восемь
fifty-five	пятьдесят пять
fifty-four	пятьдесят четыре
fifty-nine	пятьдесят девять
fifty-one	пятьдесят один
fifty-seven	пятьдесят семь
fifty-six	пятьдесят шесть
fifty-three	пятьдесят три
fifty-two	пятьдесят два
fig	инжир
fig	инжирное дерево
fight	бороться
figure	цифра
figure	рисунок
figure	фигура
figure skating	фигурное катание
file	файл
file	напильник
file	дело
file	подпиливать
file	колонна
fill	заполнить
finch	зяблик
find	найти
fine	штраф
finger	палец
fingerprint	отпечаток пальца
fir	ель
fire	горение
fire	пожар
fire	печь
fire	огонь
fire	увольнять
fire	стрелять
fire	обжигать
firefighter	пожарный
firefly	светляк
fireplace	камин
first	первый
fish	рыба
fish	рыбачить
fish	рыбный
fisher	рыбак
fishing	рыбалка
fishing rod	удочка
fist	кулак
five	пять
five hundred	пятьсот
flag	вымпел
flame	пламя
flamethrower	огнемёт
flamingo	фламинго
flat	плоский
flax	лён
flea	блоха
flesh	мягкая ткань
flex	напрягать
flight	полёт
flood	наводнение
floor	пол
floor	этаж
floppy	гибкий
flounder	камбала
flow	течение
flow	течь
flow	прилив
flower	цветок
flower	цвести
fluid	жидкость
fluorine	фтор
flute	флейта
fly	муха
fly	лететь
fly	ширинка
foal	жеребёнок
foam	пена
fodder	корм
foetus	плод
fog	туман
fold	перегибать
folder	папка
font	шрифт
food	еда
fool	дурак
foosball	кикер
foot	нога
foot	фут
football	футбол
for	потому что
for	для
for	к
for	за
for example	например
forbid	запретить
force	сила
ford	брод
forefinger	указательный палец
forehead	лоб
foreign	иностранный
foreign	инородный
foreign	чуждый
forest	лес
forget-me-not	незабудка
fork	вилка
fork	вилы
fork	развилка
formaldehyde	формальдегид
formula	формула
forty	сорок
forty-eight	сорок восемь
forty-five	сорок пять
forty-four	сорок четыре
forty-nine	сорок девять
forty-one	сорок один
forty-seven	сорок семь
forty-six	сорок шесть
forty-three	сорок три
forty-two	сорок два
forward	передний
forward	пересылать
forward	вперёд
fountain	фонтан
four	четыре
four-stroke engine	четырёхтактный двигатель
fourteen	четырнадцать
fourth	четвёртый
fox	лиса
fox	ловкий
francium	франций
freckle	веснушка
free	свободный
free	бесплатный
free	освобождать
free	беспрепятственный
freedom	свобода
freedom of speech	свобода слова
freeze	замерзать
freeze	замораживать
freeze	замирать
french kiss	французский поцелуй
frequency	частота
frequent	частый
fresh	свежий
friend	приятель
friend	друг
friends	друзья
friendship	дружба
frog	лягушка
from	из
from scratch	с
froth	пена
fruit	плод
fruit	гомик
fuck	ебать
fuck	трахать
fuck	ебня
fuck	заебать
fuck	разъебать
fuck	ёб
fuck you	пошёл на хуй
fuel	топливо
full	полный
full	сытый
full moon	полнолуние
function	функция
functionality	функциональность
funeral	похороны
fungus	гриб
furniture	мебель
furrow	борозда
future	будущее
future	будущий
future	будущее время
galaxy	галактика
galaxy	Млечный путь
gallium	галлий
game	игра
garbage	отброс
garden	сад
garden	садовый
garlic	чеснок
gas chamber	газовая камера
gas station	бензозаправочная станция
gasoline	бензин
gaucho	гаучо
gay	гей
gay	весёлый
gay	яркий
gazelle	газель
gender	род
gender	пол
genie	джинн
genitive	родительный падеж
genitive	родительный
genitive case	родительный падеж
genius	гений
genocide	геноцид
genre	жанр
geography	география
geology	геология
germanium	германий
gerund	герундий
gerund	деепричастие
get lost	отвали
ghost	привидение
gift	пoдaрoк
gift	дар
giraffe	жираф
girl	девчонка
girlfriend	подруга
girlfriend	приятельница
give	давать
give a blowjob	отсосать
give me	дайте мне
glacier	ледник
glad	счастлив
gland	железа
glasnost	гласность
glass	стекло
glass	стакан
glaucoma	глаукома
global warming	глобальное потепление
globalisation	глобализация
glockenspiel	глокеншпиль
glove	перчатка
glue	клей
gnat	мошка
gneiss	гнейс
gnu	гну
go	ходить
go	исчезать
go	го
goal	ворота
goal	цель
goal	гол
goalkeeper	вратарь
goat	коза
goatee	козья́ бор́одка
god	бог
goddess	богиня
gold	золото
gold	золотой
golden eagle	беркут
goldfish	золотая рыбка
goldsmith	кузнец золота
golf	гольф
gong	гонг
good	добро
good	хороший
good day	добрый день
good evening	добрый вечер
good luck	удачи
good morning	доброе утро
goodbye	до свидания
goods	товар
google	гуглить
goose	гусь
gooseberry	крыжовник
gorilla	горилла
goshawk	тетеревятник
gospel	евангелие
gout	подагра
government	правительство
gram	грамм
grammar	грамматика
grand unification theory	теория великого объединения
grandchild	внук
granddaughter	внучка
grandfather	дед
grandmother	бабушка
grandparent	дедушка
grandson	внук
grape	виноградина
graph	граф
graph theory	теория графов
grass	трава
grass	газон
grass	травка
grasshopper	кузнечик
gratis	бесплатно
gratitude	благодарность
graveyard	кладбище
gravity	тяжесть
grease	сало
great	великий
great spotted woodpecker	пестрый дятел
great tit	синица
great-grandfather	прадед
greed	алчность
greedy	жадный
green	зелёный
green	неопытный
green woodpecker	зелёный дятел
greenhouse	теплица
grey	серый
grey heron	серая цапля
greylag goose	серый гусь
griffin	грифон
griffon vulture	белоголовый сип
groom	жених
gross domestic product	валовой национальный продукт
group	группа
guard	беречь
guard	стражник
guess	догадка
guess	угадать
guest	гость
guest	постоялец
guide book	путеводитель
guilt	вина
guinea fowl	цесарка
guinea pig	морская свинка
guitar	гитара
guitarist	гитарист
gules	красный
gull	чайка
gullet	пищевод
gum	десна
gun	пистолет
gun	орудие
gunpowder	порох
gypsy	цыган
haddock	пикша
hadron	адрон (adron)
haemorrhage	кровоизлияние
hafnium	гафний
hail	град
hail	идти
hair	волосы
hair	волос
haircut	стрижка
hajj	хадж
half	половина
half brother	единоутробный брат
hallelujah	аллилуйя
halo	нимб
halva	халва
ham	окорок
hamburger	гамбургер
hammer	молот
hammock	гамак
hamster	хомяк
hand	рука
hand	стрелка
hand	карты
hand	передавать
hand	рабочий
handball	гандбол
handcuffs	наручники
hangover	похмелье
happen	происходить
happiness	счастье
happy	счастливый
happy	удачный
happy birthday	с днём рождения
harbor	гавань
harbour	гавань
hard	твёрдый
hard	тяжёлый
hardly	едва
hare	заяц
harem	гарем
harp	арфа
harpoon	гарпун
harpsichord	клавесин
harrow	борона
harsh	жестковатый
harvestman	сенокосец
hassium	хассий
hat	шляпа
hate	ненавидеть
hatred	ненависть
have	иметь
hawk	ястреб
hawthorn	боярышник
hay	сено
hay	собирать сено
hazel	лесной орех
hazelnut	лесной орех
he	он
head	голова
head	глава
head	возглавлять
head	направляться
health	здоровье
hear	слышать
heart	сердце
heart	черви
heart attack	острый инфаркт миокарда
hearth	очаг
heat	тепло
heat	теплота
heather	вереск
heaven	небо
heavy	тяжелый
hedgehog	ёж
heel	пятка
height	высота
helicopter	вертолёт
helium	гелий
hell	ад
hello	привет
hello	алло
hello	ау
helmet	шлем
help	помощь
help	помогать
help	помогите
hemisphere	полушарие
hemorrhage	кровоизлияние
hemp	конопля
hen	курица
henna	хна
here	здесь
here	сюда
heretic	еретик
hermaphrodite	гермафродит
hernia	грыжа
hero	герой
heroin	героин
heron	цапля
herring	сельдь
herself	сама
heterosexuality	гетеросексуальность
hi	привет
hide	прятать
hide	прятаться
hide and seek	прятки
high	высокий
highway	шоссе
hill	холм
himself	сам
hinder	мешать
hinder	задний
hinny	лошак
hip	бедро
hippopotamus	гиппопотам
his	его
history	история
hitchhike	голосовать
hither	сюда
hobbit	хоббит
hobby	хобби
hockey	хоккей
hoe	сапка
holiday	праздник
holiday	отгул
holly	падуб
holmium	гольмий
home	дом
homeland	родина
homeopathy	гомеопатия
homeostasis	гомеостаз
homework	домашнее задание
homogeneous	однороден
homosexual	гомосексуалист
homosexual	гомосексуальный
homosexuality	гомосексуальность
honest	честный
honesty	добросовестность
honey	мёд
honey	душенька
honey bee	пчела медоносная
honeybee	пчела медоносная
hoof	копыто
hook	крюк
hook	крючок
hooray	ура
hope	надеяться
hope	надежда
horizon	горизонт
hormone	инкреть
horn	рог
horn	рожок
hornet	шершень
horny	злоебучий
horse	лошадь
horseradish	хрен
horseshoe	подкова
hospital	больница
hostility	враждебность
hot	горячий
hot	острый
hotel	гостиница
hound	гончая
hour	час
hourglass	песочные часы
house	дом
house arrest	домашний арест
house music	house
housewife	домохозяйка
how	как
how are you	Как дела
how much is it	сколько это стоит
however	однако
hug	обнимать
hug	объятие
huge	огромный
human	человек
human	человеческий
human rights	права человека
hummingbird	колибри
humor	юмор
humour	юмор
hundred	сто
hunger	голод
hungry	гoлoдный
hunt	охота
hunt	охотиться
hunter	охотник
hurricane	ураган
husband	муж
hussar	гусар
hut	хата
hydrochloric acid	соляная кислота
hydrogen	водород
hyena	гиена
hymn	гимн
hyperbola	гипербола
hypertension	гипертензия
hyphen	дефис
hypocrisy	лицемерие
hyponym	гипоним
i.e.	т. е.
ibex	горный альпийский козел
ice	лёд
ice	мороженое
ice cream	мороженое
ice hockey	хоккей с шайбой
iceberg	айсберг
ichthyology	рыбоведение
icicle	сосулька
iconostasis	иконостас
ideal	идеал
ideal gas	Идеальный газ
identity	тождественность
idiom	идиома
idiot	идиот
idle	незанятый
if	если
if only	если бы только
illness	нездоровье
ilmenite	ильменит
image	образ
immediate	немедленно
immortal	бессмертный
immortality	бессмертие
imperative	повелительное наклонение
imperialism	империализм
important	важный
improve	улучшать
in	в
in person	лично
in spite of	несмотря на
in the flesh	лично
in vain	напрасно
incarcerate	заключить в турьму
incest	кровосмешение
inch	дюйм
income	доход
income tax	подоходный налог
indefinite article	неопределённый член
independence	независимость
index	указатель
indium	индий
infarct	инфаркт
inflation	инфляция
inflection	склонение
information	информация
ingot	слиток
inherit	унаследовать
injury	рана
ink	чернила
innovation	нововведение
insanity	безумие
insect	насекомое
inside out	наизнанку
inside out	назубок
insignificant	незначительный
instrument	инструмент
instrumental	творительный падеж
instrumental case	творительный падеж
insurgent	мятежник
intelligence	разведка
interesting	интересно
interferon	интерферон
interjection	междометие
internal combustion engine	двигатель внутреннего сгорания
international	международный
interpreter	переводчик
intersection	пересечение множеств
intestine	кишка
intransitive verb	непереходный глагол
invasion	вторжение
invisible	невидимый
iodine	йод
iridium	иридий
iris	радужная оболочка
iris	ирис
iron	железо
iron	утюг
iron	гладить
iron	железный
irony	ирония
is	есть
island	остров
it	он
it	его
it's all Greek to me	китайская грамота
itself	себя
ivory	слоновая кость
jack	валет
jack	домкрат
jackal	шакал
jackdaw	галка
jaguar	ягуар
jam	мармелад
jar	кувшин
jargon	жаргон
jasmine	жасмин
