-ible	-ibile
bomb	bomba
bomb	bombardare
bon appétit	buon appetito
bone	osso
book	libro
book	prenotare
bookshop	libreria
bookstore	libreria
boomerang	boomerang, bumerang
boot	stivale
border	confine
bored	annoiato
boredom	noia
boring	noioso
born	nato
boron	boro
borrow	prendere in prestito
boss	capo
both	entrambi
bottle	bottiglia
bottle	biberon
bottle	imbottigliare
bottom	parte
bottom	sedere
bouquet	mazzo
bovine spongiform encephalopathy	encefalopatia spongiforme bovina
bow	arco
bow	prua
bow	inchinarsi
bow	curvarsi
bowl	scodella
bowtie	cravatta a farfalla
box	scatola
boxer	pugile
boxing	boxe
boy	bambino
boy	ragazzo
boy	ragazzi
boyfriend	ragazzo
bra	reggipetto
bracelet	braccialetto
brain	cervello
brain stem	tronco encefalico
brake	freno
brake	frenare
bran	crusca
brass	ottone
brave	coraggioso
bread	pane
break	rompere
break	pausa
breakfast	colazione
breast	seno
breeze	brezza
bribe	tangente
brick	mattone
bridegroom	sposo
bridge	ponte
bridge	bridge
bright	brillante
bring	portare
bromine	bromo
bronze	bronzo
brooch	spilla
broth	brodo
brothel	bordello
brother	fratello
brown dwarf	nane brune
brush	scopa
brush	scopare
bucket	secchio
buckwheat	grano saraceno
bud	germoglio
buffalo	bison
bug	bacarozzo
bug	malfunzionamento
build	costruire
building	edificio
building	costruzione
bulky	voluminoso
bull	toro
bull	maschio
bull	bolla
bullshit	coglionate
bumblebee	bombo
bundle	fardello
burdock	bardana
burn	bruciare
burn	bruciatura
burp	ruttare
burp	rutto
burst	scoppiare
bus	autobus
bush	arbusto
businessman	uomo d'affari
businesswoman	donna d'affari
busybody	intrigante
but	ma
but	eccetto
butcher	macellaio
butter	burro
butter	imburrare
butter up	lusingare
butterfly	farfalla
buttermilk	latticello
buttock	gluteo
buy	comprare
buzzard	poiana
by	vicino
by	da
by	entro
by	per
by the way	a proposito
bye	ciao
cabbage	cavolo
cable	cavo
cadaver	cadavere
cadmium	cadmio
caesium	cesio
cafeteria	caffeteria
café	caffè
cage	gabbia
cake	torta
calcium	calcio
calculate	calcolare
calculator	calcolatrice
calculus of variations	Calcolo delle variazioni
calendar	calendario
calf	vitello
calf	polpaccio
californium	californio
caliph	califfo
call	telefonata
call	urlo
call	richiamo
call	canto
callsign	segnale di chiamata
camel	cammello
camera	fotocamera
camouflage	camuffamento
campaign	campagna
can	sapere
can	potere
can	lattina
can	scatoletta
can	annaffiatoio
canary	canario
cancer	cancro
candidate	candidato
candle	candela
candy	caramella
cane	bastone da passeggio
cane	canna
cannabis	canapa
cannon	cannone
capercaillie	urogallo
capillary	vaso capillare
capital	capitale
capital	maiuscola
capital punishment	punizione capitale
capitalism	capitalismo
capitol	Campidoglio
car	macchina
car	vagone
car	cabina
carbohydrate	carboidrato
carbon	carbonio
carbon dioxide	anidride carbonica
carbon monoxide	ossido di carbonio
carboxylic	carbossilico
carboxylic acid	acido carbossilico
cardinal	numero cardinale
cardinal	cardinale
cardinal number	numero cardinale
cardiologist	cardiologo
career	carriera
carefree	libero da preoccupazioni
carnage	carneficina
carnivore	carnivoro
carp	carpa
carpenter	carpentiere
carpet	tappeto
carrot	carota
carry	portare
case	caso
case	cassetta
case	causa
cash	contanti
caste	casta
castle	rocco
castle	castello
castling	arrocco
castration	castrazione
cat	gatto
cat	felino
catalogue	catalogo
catamaran	catamarano
catapult	catapulta
category	categoria
caterpillar	bruco
catfish	pesce gatto
cathedral	cattedrale
catheter	catetere
cattle	bovini
cauliflower	cavolfiore
cave	caverna
caviar	caviale
cease	cessare
cedar	cedro
cedilla	cediglia
celery	sedano
cell	cellula
cell	cella
cell phone	telefono cellulare
cellulose	cellulosa
cemetery	cimitero
cenotaph	cenotafio
cent	centesimo
centimetre	centimetro
century	secolo
century	centuria
ceramic	ceramica
cerium	cerio
chain	catena
chainsaw	motosega
chair	sedia
chalk	gessetto
chalk	gesso
chamber	camera
chamois	camoscio
chance	possibilità
chandelier	candelabro
change	cambio
change	cambiare
change	resto
channel	convogliare
chaos	caos
chaos theory	teoria del caos
chapter	capitolo
character	personaggio
character	carattere
chase	cacciare
chase	caccia
cheap	economico
cheap	scadente
check	scacco
check	assegno
check	conto
cheek	guancia
cheers	cin cin
cheese	formaggio
cheetah	ghepardo
chemist	chimico
cheque	assegno
cherry	ciliegia
cherry	ciliegio
chess	scacchi
chessboard	scacchiera
chest	petto
chestnut	castagna
chew	masticare
chewing gum	gomma da masticare
chick	pulcino
chick	gnocca
chicken	pollo
chicken	coniglio
chickpea	cece
child	figlio
child	bambino
chimpanzee	scimpanzè
chin	mento
chisel	scalpello
chive	erba cipollina
chlorine	cloro
chlorophyll	clorofilla
chocolate	cioccolato
chocolate	cioccolatino
chocolate	di cioccolato
choice	scelta
choir	coro
cholera	colera
choose	eleggere
choose	scegliere
chopstick	bacchette
chorus	coro
chromium	cromo
chromosome	cromosoma
church	chiesa
church	Chiesa
church	funzione
cicada	cicala
cigar	sigaro
cigarette	sigaretta
cinema	cinema
cinnamon	cannella
circle	cerchio
circle	disco
circle	circolo
circle	orbita
circle	curva
circle	circondare
circle	ruotare
circle	cerchiare
circumference	circonferenza
circumstance	circostanza
city	città
civil war	guerra civile
clarinet	clarino
classification	classificazione
claustrophobia	claustrofobia
clay	argilla
cliché	cliché
client	cliente
cliff	rupe
climb	arrampicare
clitoris	clitoride
clock	orologio
clockwise	senso orario
close	chiudere
close	vicino
close	concludere
closed	chiuso
cloth	stoffa
cloth	panno
clothes	vestiti
cloud	nuvola
cloudberry	camemoro
clove	chiodo di garofano
clown	pagliaccio
club	club
club	bastone
clubs	fiori
coach	allenatore
coach	allenare
coal	carbone
coarse	rude
coast	costa
coat	mantello
coat	rivestimento
cobalt	cobalto
cobra	cobra
coca	coca
cocaine	cocaina
cock	cazzo
cock	gallo
cock	maschio
cock-a-doodle-doo	chicchirichí
cockle	loglio
cockroach	blatta
cocoa	cacao
coconut	noce di cocco
cod	merluzzo
code	codice
coeliac disease	celiachia
coffee	caffè
coffee	pianta del caffè
coffee	marrone
coffin	bara
coin	moneta
cold	freddo
cold	raffreddore
cold fusion	fusione fredda
cold war	guerra fredda
collaborate	collaborare
collar	bavero
colon	due punti
colonel	colonello
colony	colonia
colt	puledro
coma	coma
comb	pettine
comb	cresta
come	venire
comet	cometa
comfortable	confortevole
comitology	comitologia
comma	virgola
comment	commento
common	comune
common gull	gavina
common kestrel	gheppio
communism	comunismo
communist	comunista
comparative	comparativo
compass	bussola
competency	competenza
competition	concorso
competition	competizione
complete	completo
complete	completare
complex number	numero complesso
complexity	complessità
component	componente
computer	calcolatore
computer science	informatica
comrade	compagno
concentration camp	campo di concentramento
concept	concetto
concertina	fisarmonica
concrete	calcestruzzo
concrete	in ''or'' di calcestruzzo
concrete	concreto
condition	condizione
condom	preservativo
confiscate	confiscare
conflagration	conflagrazione
conflict	conflitto
conflict	incompatibilità
conjunction	congiunzione
connoisseur	intenditore
consanguinity	consanguinità
conscience	coscienza
conscious	cosciente
consciousness	conoscenza
consensus	consenso
consonant	consonante
constellation	costellazione
contact	contattare
contact	contatto
contact lens	lente a contatto
contagion	contagio
contemporary	contemporaneo
content	contenuto
continent	continente
contract	contratto
contradict	contradire
convenient	conveniente
convertible mark	marco convertibile
convex	convesso
cook	cuoco
cook	cuocere
cook	cucinare
cookbook	ricettario
cooked	cucinato
cookie	biscotto
cool	fresco
coordinate	coordinata
copper	rame
copra	copra
copy	copiare
copy	imitare
copy	copia
copy	ricevere
cor anglais	corno inglese
coral	corallo
core	nucleo
cormorant	cormorano
corn	granturco
corner	angolo
corporation	società
corridor	corridoio
corridor	corridoio aereo
corset	corsetto
cosmology	cosmologia
cotton	cotone
cotton candy	zucchero filato
cough	tossire
cough	tosse
council	consiglio
count	conte
count	contare
countess	contessa
country	paese
country	campagna
country	di campagna
county	contea
coup d'état	colpo di stato
couple	coppia
courage	coraggio
course	corso
cousin	cugino
cover	coperto
cow	vacca
cow	stronza
cow	bovino
coyote	coyote
crab	granchio
cradle	culla
cranberry	ossicocco
crane	gru
crayfish	aragosta
crayon	pastello
crazy	pazzo
cream	panna
create	creare
creation	creazione
creative	creativo
creator	creatore
creature	creatura
creep	strisciare
crew	ciurma
cricket	grillo
cricket	cricket
crime	crimine
crime	criminalità
criminal	criminale
crisis	crisi
criterion	criterio
criticism	critica
croissant	brioche
cross	croce
cross	attraversare
crossbow	balestra
crossword	cruciverba
crow	cornacchia
crowbar	piede di porco
crown	corona
cruel	crudele
crusade	crociata
crust	crosta
crustacean	crostaceo
crutch	stampella
cry	piangere
cry	urlo
crystal	cristallo
cub	cucciolo
cube	cubo
cube	elevare al cubo
cubism	cubismo
cuckoo	cuculo
cucumber	cetriolo
culture	cultura
cum	venire
cunt	fica
cunt	stronza
cup	tazza
cure	cura
cure	curare
curiosity	curiosità
curium	curio
currant	ribes
currency	valuta
current	corrente
currently	attualmente
curriculum vitae	curriculum vitae
curse	maledizione
curse	maledire
curve	curva
cushion	cuscino
customer	cliente
cute	carino
cutlery	coltelleria
cycle	ciclo
cyclone	ciclona
cylinder	cilindro
cypress	cipresso
czar	zar
dachshund	bassotto tedesco
daddy	papà
daffodil	narciso
dagger	daga
daily	quotidiano
daily	quotidianamente
dam	argine
dance	ballo
dance	ballare
dancer	ballerino
dandelion	soffione
dangerous	pericoloso
dark	scuro
dark	oscurità
dark	oscuro
dark	tenebra
darkness	oscurità
darmstadtium	darmstadtio
date	dattero
date	data
date	incontro
dative case	caso dativo
daughter	figlia
daughter-in-law	nuora
dawn	alba
dawn	spuntare
day after tomorrow	dopodomani
day before yesterday	l'altro ieri
dead	morto
deadly nightshade	belladonna
deaf	sordo
death	morte
debate	dibattito
debate	dibattere
debtor	debitore
decade	decennio
decay	imputridire
deceive	ingannare
decimetre	decimetro
declare	dichiarare
declension	declinazione
deed	fatto
deer	cervo
defamation	diffamazione
defeat	sconfiggere
defeat	sconfitta
defeatism	disfattismo
defecate	defecare
definite article	articolo definito
degree	grado
degree	laurea
deism	deismo
delicious	squisito
delirium	delirio
democracy	democrazia
democratic	democratico
den	covo
density	densità
dentist	dentista
deodorant	deodorante
deoxyribonucleic acid	acido desossiribonucleico
depression	depressione
depth	profondità
description	descrizione
desert	deserto
design	disegno
desire	desiderio
desk	scrivania
despise	disprezzare
dessert	dolce
destination	destinazione
destiny	destino
destroy	distruggere
deuterium	deuterio
development	potenziamento
devil	diavolo
devil	il diavolo
dew	rugiada
dialect	dialetto
dialogue	dialogo
diameter	diametro
diamond	diamante
diaper	pannolino
diarrhea	diarrea
diary	diario
dick	pisello
dictator	dittatore
dictionary	dizionario
die	morire
die	dado
difference	differenza
different	differente
differential equation	equazione differenziale
difficult	difficile
digestion	digestione
diligent	diligente
dill	aneto
dining room	sala da pranzo
dinner	cena
dinosaur	dinosauro
dirty	sporco
dirty	sporcare
discover	scoprire
discuss	dibattere
discussion	discussione
disease	malattia
disgust	disgusto
dish	piatto
dishwasher	lavastoviglie
diskette	dischetto
distance	distanza
divide	dividere
division	divisione
do	fare
do you speak English	parli inglese
dobra	dobra
docile	docile
doctor	medico
doctor	dottore
doctor	veterinario
dodo	dodo
dog	cane
doll	bambola
dollar	dollaro
dolphin	delfino
donate	donare
donation	donazione
donkey	asino
door	porta
dormouse	ghiro
dot	puntino
dot	punto
double	doppio
doubt	dubbio
doubt	dubitare
dough	pasta
dove	colomba
download	download
download	scaricare
dowry	dote
doxology	dossologia
dozen	dozzina
dragon	drago
dragonfly	libellula
drastic	drastico
draw	disegnare
drawer	cassetto
dream	sogno
dream	sognare
dress	gonna
drink	bere
drink	bevanda
drinking straw	cannuccia
drive	guidare
dromedary	dromedario
drone	fuco
drop	goccia
drought	siccità
drown	annegarsi
drum	bidone
drunk	ubriaco
dry	secco
dry	asciugarsi
dry	asciugare
duck	anatra
duckling	anatroccolo
dude	tipo
duke	duca
dulcimer	dulcimero
duma	duma
dumb	muto
dune	duna
dust	polvere
duty	dovere
duty	tassa
dwarf	nano
dwarf planet	pianeta nano
dwell	abitare
dye	tintura
dye	tingere
e.g.	ad es.
each	ogni
eagle	aquila
eagle owl	gufo reale
ear	orecchio
ear	arare
eardrum	timpano
early	presto
earth	terra
earth	mettere a terra
earthquake	terremoto
earthworm	lombrico
earwax	cerume
east	est
east	orientale
east	da est
east	a est, verso est
east	di levante
easy	facile
eat	mangiare
ebb	riflusso
ecclesiology	ecclesiologia
echidna	echidna
eclipse	eclisse
eco-	eco-
ecology	ecologia
economics	economia
economy	economia
ecumenism	ecumenismo
eczema	eczema
edge	orlo
edible	commestibile
edit	redigere
eel	anguilla
effendi	efendi
egg	uovo
egg yolk	tuorlo
eigenvalue	autovalore
eight	otto
eighteen	diciotto
eighth	ottavo
eighty	ottanta
eighty-eight	ottantotto
eighty-five	ottantacinque
eighty-four	ottantaquattro
eighty-nine	ottantanove
eighty-one	ottantuno
eighty-seven	ottantasette
eighty-six	ottantasei
eighty-three	ottantatrè
eighty-two	ottantadue
ejaculate	eiaculare
ejaculation	eiaculazione
elderberry	sambuco
election	elezione
electricity	elettricità
electromagnet	elettromagnete
electromagnetism	elettromagnetismo
electron	elettrone
elegant	elegante
elephant	elefante
eleven	undici
eleventh	undicesimo
elf	elfo
elixir of life	l’elisir di lunga vita
elm	olmo
embassy	ambasciata
embed	incastonare
embezzlement	appropriazione indebita
embryo	embrione
emerald	smeraldo
emergence	emergenza
emotion	emozione
emperor	imperatore
empire	impero
employ	impiegare
empty	vuoto
empty	vuotare
empty set	insieme vuoto
emu	emù
enantiomer	enantiomero
encephalopathy	encefalopatia
encourage	incoraggiare
encyclopaedia	enciclopedia
encyclopedia	enciclopedia
end	fine
enemy	nemico
energy	energia
engine	motore
engine	motrice
engineer	ingegnere
engineer	macchinista
english	italian
enhanced remake	aumentato refaccia
enigmatic	enigmatico
enough	abbastanza
enough	basta
enter	entrare
enthusiasm	entusiasmo
entropy	entropia
envelope	busta
environment	ambiente
envy	invidia
ephemeral	effimero
epidemic	epidemia
epoch	epoca
equation	equazione
equator	equatore
equinox	equinozio
era	era
ereyesterday	l'altro ieri
ergative case	caso ergativo
ergo	dunque
ermine	ermellino
erotic	erotico
errant	errante
eschatology	escatologia
essay	saggio
et cetera	eccetera
etc.	ecc
etcetera	eccetera
ethnic cleansing	pulizia etnica
eucalyptus	eucalitto
eukaryote	eukaryota
eunuch	eunuco
euro	euro
euthanasia	eutanasia
evacuate	evacuare
evacuation	evacuamento
even	anche
even	pari
evening	sera
eventually	alla
every	ogni
everybody	ciascuno
everyone	ciascuno
everything	tutto
everywhere	dappertutto
evil	male
evolution	evoluzione
ewe	pecora
exaggerate	esagerare
examination	esame
example	esempio
excellent	eccellente
excommunication	scomunica
excuse me	scusi
excuse me	scusi?
excuse me	permesso
exist	esistere
existence	esistenza
exit	uscita
exit	uscire
expensive	caro
experience	esperire
explain	spiegare
exploit	sfruttare
expression	espressione
expressway	superstrada
extensive	vasto
extraordinary	straordinario
extraterrestrial	estraterrestre
eye	occhio
eye	cruna
eyebrow	sopracciglio
eyelash	ciglio
eyelid	palpebra
fable	fiaba
face	faccia
factorial	Fattoriale
factory	fabbrica
faeces	feci
faggot	frocio
failure	fallimento
fair	bello
fairy	fata
faith	fede
falcon	falco
fall	cadere
fall	caduta
fall in love	innamorarsi
fallow deer	daino
false	falso
false	posticcio
fame	fama
fan	ventilatore
fan	ventaglio
fang	dente
far	lontano
fare	prezzo
farm	fattoria
farmer	agricoltore
fart	scoreggiare
fart	scoreggia
fascism	fascismo
fast	veloce
fast	digiunare
fast	rapidamente
fast	digiuno
fast food	fast food; cibo
fat	grasso
fat	grosso
fate	destino
father	padre
father-in-law	suocero
fathom	braccio
fault	colpa
favor	favore
fax	fax, telefax
façade	facciata
fear	temere
fear	paura
feasible	fattibile
feat	abilità
feather	piuma
feature	caratteristica
feceate	defecare
feces	feci
federation	federazione
fee	tassa
feed	nutrire
feel	sentire
feeling	sentimento
feeling	senso
feeling	intuito
fellatio	fellatio
female	femminile
female	femmina
feminine	femminile
feminism	femminismo
fencing	scherma
fennel	finocchio
fermata	fermata
ferret	furetto
ferry	traghetto
fetus	feto
fever	febbre
few	poco
fewer	meno
fiancé	fidanzato
field	campo
fifteen	quindici
fifteenth	quindicesimo
fifth	quinto
fifty	cinquanta
fifty-eight	cinquantaotto
fifty-five	cinquantacinque
fifty-four	cinquantaquattro
fifty-nine	cinquantanove
fifty-one	cinquantuno
fifty-seven	cinquantasette
fifty-six	cinquantasei
fifty-three	cinquantatrè
fifty-two	cinquantadue
fig	fico
fight	lottare
fight	lotta
fight	battaglia
fight	combattimento
fight	combattere
figure	cifra
figure	figura
figure	personaggio
figure skating	pattinaggio di figura
file	lima
file	archivio
file	limare
fill	riempire
final	finale
find	trovare
fine	multa
finger	dito
fingerprint	impronta digitale
finish	finire
finish	fine
fir	abete
fire	fuoco
fire	incendio
fire	stufa
fire	licenziare
fire	sparare
firefighter	vigile del fuoco
firefly	lucciola
fireman	vigile del fuoco
fireplace	camino
firework	fuoco d'artificio
first	primo
fish	pesce
fish	pescare
fish	di pesce
fisher	pescatore
fishhook	amo
fishing	pesca
fishing rod	canna da pesca
five	cinque
five hundred	cinquecento
flag	bandiera
flame	fiamma
flamethrower	lanciafiamme
flamingo	fenicottero
flat	piano
flea	pulce
flesh	carne
flex	contrarre
flight	volo
flock	stormo
flood	inondazione
floor	pavimento
floor	piano
floppy	floscio
flounder	sogliola
flour	farina
flow	flusso
flow	riflusso
flower	fiore
flower	fiorire
flowerpot	vaso da fiori
flu	influenza
fluent	fluente
fluid	fluido
fluorine	fluoro
flute	flauto
fly	mosca
fly	volare
flying saucer	disco volante
foal	puledro
foam	schiuma
fodder	foraggio
foe	nemico
foetus	feto
fog	nebbia
fold	piegare
follow	seguire
food	cibo
fool	imbecille
fool	buffone
foosball	calcio-balilla
foot	piede
foot	zampa
foot	pagare
football	calcio
football	football americano
football	pallone
for	perché
for	per
for example	per esempio
forbid	proibire
force	forza
ford	guado
forecast	prevedere
forefinger	indice
forehead	fronte
foreign	straniero
foreign	estraneo
foreigner	straniero
forest	foresta
forget-me-not	nontiscordardimé
forgive	perdonare
fork	forchetta
fork	biforcazione
formaldehyde	formaldeide
former	precedente
formula	formula
forsake	abbandonare
fortnight	(periodo
fortress	fortezza
forty	quaranta
forty-eight	quarantotto
forty-five	quarantacinque
forty-four	quarantaquattro
forty-nine	quarantanove
forty-one	quarantuno
forty-seven	quarantasette
forty-six	quarantasei
forty-three	quarantatrè
forty-two	quarantadue
forward	inoltrare
fountain	fontana
four	quattro
four-stroke engine	motore a quattro tempi
fourteen	quattordici
fourteenth	quattordicesimo
fourth	quarto
fox	volpe
francium	francio
free	libero
free	gratuito
free	liberare
freedom of speech	libertà di parola
freeze	raffreddare
freeze	congelare
french fries	patate fritte
french kiss	slinguata
frequency	frequenza
frequent	frequente
fresh	fresco
friend	amico
friend	fidanzato
friends	amici
frog	rana
from	da
from scratch	da capo
froth	schiuma
fruit	frutta
fruit	frocio
fry	friggere
fuck	scopare
fuck	scopata
fuck	cazzo
fuck you	vaffanculo
fulcrum	fulcro
full	pieno
full	completo
full	totale
full moon	luna piena
function	funzione
function	funzionare
functionality	funzionalità
fundamentalism	fondamentalismo
funeral	funerale
funeral	funebre
funnel	imbuto
funny	buffo
furniture	mobilio
furrow	solco
future	futuro
galaxy	galassia
galaxy	Via Lattea
gallium	gallio
gallows	impiccagione
game	gioco
garbage	immondizia
garden	giardino
garden	giardino pubblico
garden	di giardino
garlic	aglio
gas	gas
gas	benzina
gas chamber	camera a gas
gas station	distributore
gasoline	benzina
gay	gay
gay	gaio
gazelle	gazzella
gender	genere
gene	gene
genetic	genetico
genitive case	caso genitivo
genocide	genocidio
genome	genoma
genre	genere
gentleman	signore
gentleman	signori
genuflect	genuflettersi
genus	genere
geography	geografia
geology	geologia
geometry	geometria
germanium	germanio
gerund	gerundio
get	ricevere
get	ottenere
get lost	vai
get up	levarsi
ghost	fantasma
giant	gigante
gift	regalo
gift	dono
gift	regalare
ginger	zenzero
giraffe	giraffa
girl	bambina
girlfriend	ragazza
girlfriend	amica del cuore
give	dare
give a blowjob	fare
give me	datemi
glacier	ghiacciaio
gland	ghiandola
glasnost	glasnost
glass	vetro
glass	bicchiere
glass harmonica	armonica a bicchieri
global warming	riscaldamento globale
glockenspiel	campanelli
glue	colla
gnaw	rodere
gneiss	ortogneiss
go	andare
go	sparire
goal	porta
goal	obiettivo
goal	gol
goalkeeper	portiere
goat	capra
goatee	pizzo
goblin	folletto
god	dio
goddess	dea
gold	oro
gold	di oro
gold	dorato
gold	medaglia d'oro
gold	moneta d'oro
golden eagle	aquila reale
goldfish	pesce rosso
golf	golf
good	bene
good afternoon	buon pomeriggio
good day	buon giorno
good evening	buona sera
good luck	buona fortuna
good morning	buon giorno
good night	buona notte
goodbye	arrivederci
goods	merce
google	googlare
goose	oca
gooseberry	uva spina
gorilla	gorilla
goshawk	astore
gospel	vangelo
gossip	pettegolezzo
gout	gotta
government	governo
grain	grano
gram	grammo
grammar	grammatica
grandchild	nipote
granddaughter	pronipote
grandfather	nonno
grandmother	nonna
grandparent	nonno
grape	acino
grapefruit	pompelmo
graph	grafo
graph theory	teoria dei grafi
graphical user interface	interfacia grafica
grass	erba
grass	prato
grasshopper	cavalletta
gratis	gratis
graveyard	cimitero
gravitation	gravitazione
gravity	gravità
gravy	sugo
grease	grasso
great	grande
great northern diver	strolaga maggiore
great spotted woodpecker	picchio rosso maggiore
great tit	cinciallegra
great-grandfather	bisnonno
greed	avidità
greedy	ingordo
green	verde
green woodpecker	picchio verde
greenhouse	serra
greenhouse effect	effetto serra
grey	grigio
grey heron	airone cenerino
greylag goose	oca selvatica
griffin	grifone
griffon vulture	avvoltoio
grind	macinare
groom	sposo
gross domestic product	Prodotto Interno Lordo
group	gruppo
guarantee	garanzia
guard	custodire
guess	congettura
guess	indovinare
guest	ospite
guest	cliente
guide book	guida
guilt	colpa
guinea fowl	faraona
guinea pig	cavia
guitar	chitarra
guitarist	chitarrista
gules	rosso
gull	gabbiano
gullet	esofago
gum	gengiva
gun	fucile
gun	cannone
gun	pistola
gunpowder	polvere da sparo
guts	interiora
gypsy	zingaro
habit	abitudine
hadron	adrone
haemorrhage	emorragia
hafnium	afnio
hail	grandine
hail	grandinare
hair	capello
hair	peli
hair	pelo
haircut	taglio
hairy	peloso
hajj	hajj
half	metà
half brother	fratello mezzo
half-life	emivita
halo	nimbo
halva	halva
ham	prosciutto
hamburger	hamburger
hammer	martello
hammock	amaca
hamster	criceto
hand	mano
hand	dare
handcuffs	manette
handkerchief	fazzoletto
handsome	bello
hangover	postumi della sbornia
happen	accadere
happiness	felicità
happy	felice
happy	fortunato
happy	contento
happy birthday	buon compleanno
harbor	porto
hard	duro
hardly	appena
hare	lepre
harem	harem
harp	arpa
harpsichord	clavicembalo
harrow	erpice
harsh	(1)ruvido
hassium	hassio
hat	cappello
hate	odiare
hatred	odio
have	avere
hawk	falco
hawthorn	biancospino
hay	fieno
hay fever	raffreddore da fieno
hazel	nocciolo
hazel	nocciola
hazelnut	nocciola
he	lui
head	testa
heap	mucchio
hear	sentire
heart	cuore
heart	nocciolo
heart	cuori
heart attack	infarto del miocardio
hearth	focolare
heat	calore
heather	erica
heaven	cielo
heavy	pesante
heavy water	l'acqua pesante
hedgehog	riccio
hedonism	edonismo
heel	tallone
height	altezza
helicopter	elicottero
helium	elio
hell	inferno
hello	ciao
hello	pronto
hello	c'è nessuno
helmet	casco
help	aiuto
help	aiutare
hemisphere	emisfero
hemorrhage	emorragia
hemp	canapa
hen	gallina
hence	perciò
henceforth	d'ora in poi
her	il suo
her	(''after preposition'') lei
herbivore	erbivoro
here	qui
here	qua
hernia	ernia
hero	eroe
heron	airone
herring	aringa
herself	lei stessa
heterogeneous	eterogeneo
heterosexuality	eterosessualità
heuristic	euristica
hexagon	esagono
hi	ciao
hiccup	singhiozzo
hide	nascondere
hide	nascondersi
hide and seek	nascondino
high	alto
high	fatto
highway	strada maestra
hill	collina
him	(''after preposition'')
himself	lui stesso
hinder	ostacolare
hinder	impedire
hinny	bardotto
hip	anca
hippopotamus	ippopotamo
his	suo
his	il suo
history	storia
history	precedenti
hitchhike	fare
hither	qui
hitherto	fin
hobbit	hobbit
hobby	hobby
hoe	zappa
holiday	vacanza
holly	agrifoglio
holmium	olmio
home	casa
home	patria
homeopathy	omeopatia
homeostasis	omeostasi
homework	compito
homogeneous	omogeneo
homosexual	omosessuale
homosexuality	omosessualità
honest	onesto
honesty	onestà
honey	miele
honey bee	ape da miele
honeybee	ape da miele
honor	onore
honour	onore
hoof	zoccolo
hook	gancio
hook	prendere
hook	uncino
hope	sperare
hope	speranza
horizon	orizzonte
hormone	ormone
horn	corno
horn	clacson
hornet	calabrone
horny	arrapato
horse	cavallo
horseradish	rafano
horseshoe	ferro di cavallo
hospital	ospedale
hostility	ostilità
hot	(molto
hot	piccante
hotel	albergo
hound	bracco
hour	ora
hourglass	clessidra
house	casa
house arrest	arresto della casa
house music	house music
how	come
how are you	Come stai
how much	quanto
how much is it	quanto costa
however	però
hug	abbracciare
hug	abbraccio
huge	enorme
human	umano
human being	essere umano
human rights	diritti umani
hummingbird	colibri
humor	humour
hump	gobba
hundred	cento
hunger	fame
hunt	caccia
hunt	cacciare
hunter	cacciatore
hurricane	uragano
hurry	affrettarsi
husband	marito
hussar	ussaro
hydrochloric acid	acido cloridrico
hydrogen	idrogeno
hyena	iena
hyperbola	iperbole
hypertension	ipertensione
hyphen	trattino
hypocrisy	ipocrisia
hypotenuse	ipotenusa
i.e.	cioè
ibex	stambecco
ice	ghiaccio
ice	gelato
ice cream	gelato
ice cream	cono
ice hockey	hockey su ghiaccio
iceberg	iceberg
ichthyology	ittiologia
iconostasis	iconostasi
idea	idea
ideal	ideale
ideal gas	gas ideale
identity	identità
idiom	frase idiomatica
idle	ozioso
if	se
illness	malattia
image	immagine
immediate	immediato
imperative	imperativo
imperialism	imperialismo
important	importante
impossible	impossibile
imprison	imprigionare
improve	migliorare
in	in
in spite of	nonostante
in vain	invano
incarcerate	incarcerare
incest	incesto
inch	pollice
include	comprendere
income	introiti
indeed	infatti
indefinite article	articolo indefinito
independent	indipendente
index	indice
indium	indio
inevitable	inevitabile
inexpensive	economico
infarct	infarto
infertility	infertilità
infidel	infedele
inflation	inflazione
inflection	desinenza
influenza	influenza
information	informazione
ingot	lingotto
inherit	ereditare
injury	ferita
inn	osteria
innocent	innocente
innovation	innovazione
insanity	follia
insect	insetto
inside out	alla rovescia
inside out	a fondo
insignificant	insignificante
instrument	strumento
instrumental case	caso strumentale
insurgent	insorto
integer	intero
intelligence	intelligenza
interferon	interferone
internal combustion engine	motore a combustione interna
international	internazionale
intersection	intersezione
intestine	intestino
intransitive verb	verbo intransitivo
invasion	invasione
invention	invenzione
invisible	invisibile
invoice	fattura
iodine	iodio
iridium	iridio
iris	iride
iris	iris
iron	ferro
iron	stirare
iron	ferreo
is	è
island	isola
it	esso
it's all Greek to me	per me è arabo
itself	se stesso
ivory	avorio
ivy	edera
jack	fante
jack	cric
jackdaw	taccola
jam	marmellata
jar	teglia
jargon	gergo
jasmine	gelsomino
jaundice	itterizia
jay	ghiandaia
jeans	jeans
jelly	marmellata
jelly	gelatina
jellyfish	medusa
jerk off	farsi una sega
jetty	molo
jewel	gemma
jihad	jihad
job	lavoro
joke	barzelletta
joke	battuta
joke	scherzare
joule	joule
journalism	giornalismo
journey	viaggio
journey	viaggiare
joy	gioia
joystick	barra di comando
judge	giudice
judo	jujitsu
juice	succo
jungle	giungla
juniper	ginepro
junk food	cibo
kangaroo	canguro
kestrel	gheppio
kestrel	falco
key	chiave
key	tasto
keyboard	tastiera
kick	calcio
kick the bucket	crepare
