0 (number)	0 (число)
Piracy	Пиратство
Pisa	Пиза
Pisces (constellation)	Рыбы (созвездие)
Piston	Поршень
Pittsburgh	Питтсбург
Pituitary gland	Гипофиз
Pixel	Пиксел
Pizza	Пицца
Plagiarism	Плагиат
Plane (mathematics)	Плоскость (математика)
Planet	Планета
Planetary nebula	Планетарная туманность
Plankton	Планктон
Plant	Растения
Plasma (physics)	Плазма
Plasmid	Плазмиды
Plastic	Пластмассы
Plastid	Пластиды
Plate tectonics	Тектоника плит
Platelet	Тромбоциты
Platinum	Платина
Plato	Платон
Platypus	Утконос
Playboy	Playboy
Playing card	Игральные карты
Pleiades (star cluster)	Плеяды (звёздное скопление)
Pleistocene	Плейстоцен
Pleven	Плевен
Pliny the Elder	Плиний Старший
Pliny the Younger	Плиний Младший
Pliocene	Плиоцен
Plotinus	Плотин
Plovdiv	Пловдив
Plum	Слива домашняя
Plutarch	Плутарх
Pluto	Плутон (карликовая планета)
Pluto (disambiguation)	Плутон
Plutonium	Плутоний
Plymouth	Плимут (Англия)
Pneumonia	Пневмония
Po River	По (река)
Poaceae	Злаки
Podcast	Подкастинг
Poetry	Поэзия
Poetry	Категория:Поэзия
Pogrom	Антиеврейские погромы
Point (geometry)	Точка (геометрия)
Poison	Яд
Poitiers	Пуатье
Poitou-Charentes	Пуату — Шарант
Poker	Покер
Poland	Польша
Poland	Категория:Польша
Polar bear	Белый медведь
Polaris	Полярная звезда
Police	Полиция
Poliomyelitis	Полиомиелит
Political party	Политическая партия
Political science	Политология
Political science	Категория:Политология
Politician	Политик
Politics	Политика
Politics	Категория:Политика
Pollen	Пыльца
Pollination	Опыление
Pollution	Загрязнение
Polo	Поло
Polonium	Полоний
Polyethylene	Полиэтилен
Polygamy	Полигамия
Polygon	Многоугольник
Polyhedron	Многогранник
Polyhymnia	Полигимния
Polymer	Полимер
Polynesia	Полинезия
Polynomial	Многочлен
Polytheism	Политеизм
Polyvinyl chloride	Поливинилхлорид
Pomegranate	Гранатовое дерево
Pomelo	Помело (фрукт)
Pompeii	Помпеи
Pompey	Помпей Великий
Pontius Pilate	Понтий Пилат
Pop art	Поп-арт
Pop music	Поп-музыка
Pope	Папство
Pope Alexander VI	Александр VI (папа римский)
Poplar	Тополь
Population	Население Земли
Populism	Популизм
Porcelain	Фарфор
Pornography	Порнография
Port	Порт
Port Louis	Порт-Луи
Port Moresby	Порт-Морсби
Port Vila	Порт-Вила
Port of Spain	Порт-оф-Спейн
Port-au-Prince	Порт-о-Пренс
Portland	Портленд (Орегон)
Portland	Портленд
Porto	Порту
Portrait	Портрет
Portsmouth	Портсмут (Англия)
Portugal	Португалия
Portugal	Категория:Португалия
Poseidon	Посейдон
Positron	Позитрон
Postage stamp	Почтовая марка
Postal code	Почтовый индекс
Postmodernism	Постмодернизм
Potassium	Калий
Potassium nitrate	Нитрат калия
Potato	Картофель
Potential energy	Потенциальная энергия
Potsdam	Потсдам
Pound (mass)	Фунт (единица измерения)
Pound sterling	Фунт стерлингов
Poverty	Бедность
Power (physics)	Мощность
Power station	Электростанция
Praetor	Претор
Prague	Прага
Prague	Категория:Прага
Praia	Прая
Praseodymium	Празеодим
Prayer	Молитва
Precambrian	Докембрий
Precession	Прецессия
Precipitation (meteorology)	Атмосферные осадки
Pregnancy	Беременность
Prehistory	Первобытное общество
Prehistory	Категория:Доисторический период
President	Президент
President of the United States	Президент США
Pressure	Давление
Pretoria	Претория
Priam	Приам
Price	Цена
Priest	Жрец
Primate	Приматы
Primates	Категория:Приматы
Prime Meridian	Гринвичский меридиан
Prime minister	Премьер-министр
Prime number	Простое число
Prince Edward Island	Остров Принца Эдуарда
Prince Philip	Филипп, герцог Эдинбургский
Prince of Wales	Принц Уэльский
Princeton University	Принстонский университет
Principle of relativity	Теория относительности
Printing	Книгопечатание
Prion	Прионы
Prism (geometry)	Призма (математика)
Prism (optics)	Призма (оптика)
Prison	Тюрьма
Prisoner of war	Плен
Prix Goncourt	Гонкуровская премия
Probability	Вероятность
Probability theory	Теория вероятностей
Probability theory	Категория:Теория вероятностей
Procyonidae	Енотовые
Professor	Профессор
Profit	Прибыль
Programmer	Программист
Programming language	Язык программирования
Progressive rock	Прогрессивный рок
Project	Проект
Prokaryote	Прокариоты
Prolog	Пролог (язык программирования)
Prometheus	Прометей
Promethium	Прометий
Pronoun	Местоимение
Propaganda	Пропаганда
Propane	Пропан
Prophet	Пророк
Prose	Проза
Prostate	Предстательная железа
Protactinium	Протактиний
Protectorate	Протекторат
Protein	Белки
Proterozoic	Протерозой
Protestant Reformation	Реформация
Protestantism	Протестантизм
Protist	Протисты
Protista	Категория:Простейшие
Protocol	Протокол
Proton	Протон
Providence	Провиденс (Род-Айленд)
Proxima Centauri	Проксима Центавра
Prunus	Слива (род)
Prussia	Пруссия
Psalms	Псалом
Pseudonym	Псевдоним
Pseudoscience	Категория:Неакадемические направления исследований
Pseudoscience	Псевдонаука
Psi (letter)	Пси (буква)
Psoriasis	Псориаз
Psychiatry	Психиатрия
Psychiatry	Категория:Психиатрия
Psychoanalysis	Психоанализ
Psychology	Психология
Psychology	Категория:Психология
Psychosis	Психоз
Psychotherapy	Психотерапия
Ptah	Пта
Pterosaur	Птерозавры
Ptolemaic dynasty	Птолемеи
Ptolemy	Клавдий Птолемей
Puberty	Пубертат
Public domain	Общественное достояние
Public relations	Пиар
Puerto Rico	Пуэрто-Рико
Puerto Rico	Категория:Пуэрто-Рико
Pula	Пула
Pulley	Блок (механика)
Pulsar	Пульсар
Pump	Насос
Punctuation	Знаки препинания
Punjab (India)	Пенджаб (Индия)
Punk	Категория:Панк
Punk rock	Панк-рок
Pupil	Зрачок
Puppis	Корма (созвездие)
Pyongyang	Пхеньян
Pyramid	Пирамида (архитектура)
Pyramid (geometry)	Пирамида (геометрия)
Pyrenees	Пиренеи
Pyrite	Пирит
Pyrrhic victory	Пиррова победа
Pythagoras	Пифагор
Python (programming language)	Python
Pyxis	Компас (созвездие)
Q	Q (латиница)
Qatar	Катар
Qatar	Категория:Катар
Qin Dynasty	Цинь (династия)
Qing Dynasty	Цин
Quadratic equation	Квадратное уравнение
Quadrilateral	Четырёхугольник
Quaestor	Квестор
Quantum field theory	Квантовая теория поля
Quantum mechanics	Квантовая механика
Quantum mechanics	Категория:Квантовая механика
Quarantine	Карантин (мероприятие)
Quark	Кварки
Quartz	Кварц
Quasar	Квазар
Quaternary	Четвертичный период
Quaternion	Кватернион
Quebec	Квебек
Quebec	Категория:Квебек
Quebec City	Квебек (город)
Quechua	Кечуа (язык)
Queen (chess)	Ферзь
Queens	Квинс
Queensland	Квинсленд
Quentin Tarantino	Тарантино, Квентин
Question mark	Вопросительный знак
Quetzalcoatl	Кетцалькоатль
Quince	Айва
Quito	Кито
R	R (латиница)
RAF (disambiguation)	RAF
RAID	RAID
RNA	Рибонуклеиновые кислоты
Ra	Ра
Rabat	Рабат
Rabbi	Раввин
Rabindranath Tagore	Тагор, Рабиндранат
Raccoon Dog	Енотовидная собака
Race	Раса
Racism	Расизм и расовая дискриминация
Racism	Категория:Расизм
Radar	Радиолокационная станция
Radian	Радиан
Radio	Категория:Радио
Radio telescope	Радиотелескоп
Radioactive decay	Радиоактивный распад
Radiocarbon dating	Радиоуглеродный анализ
Radiology	Рентгенология
Radium	Радий
Radius	Радиус
Radon	Радон
Rain	Дождь
Rainbow	Радуга
Rainer Maria Rilke	Рильке, Райнер Мария
Raleigh	Роли (Северная Каролина)
Ralph Waldo Emerson	Эмерсон, Ральф Уолдо
Rama	Рама
Ramadan	Рамадан
Ramayana	Рамаяна
Ramesses II	Рамсес II
Random access memory	Запоминающее устройство с произвольным доступом
Ranunculaceae	Лютиковые
Rape	Изнасилование
Rapeseed	Рапс
Raphael	Рафаэль Санти
Raphael (archangel)	Архангел Рафаил
Rapid transit	Категория:Метрополитен
Raspberry	Малина
Rat	Крысы
Rational number	Рациональное число
Ratite	Страусообразные
Ravenna	Равенна
Rawalpindi	Равалпинди
Ray Bradbury	Брэдбери, Рэй
Read-only memory	Постоянное запоминающее устройство
Real number	Вещественное число
Recession	Рецессия
Recife	Ресифи
Rectangle	Прямоугольник
Rectifier	Выпрямитель
Recursion	Рекурсия
Recycling	Переработка отходов
Red	Красный цвет
Red Army Faction	Фракция Красной Армии
Red Deer	Благородный олень
Red Fox	Лисица
Red Panda	Малая панда
Red Sea	Красное море
Red algae	Красные водоросли
Red blood cell	Эритроциты
Red dwarf	Красный карлик
Red giant	Красный гигант
Redshift	Красное смещение
Redshift (disambiguation)	Красное смещение
Reduced instruction set computer	RISC
Referendum	Референдум
Refraction	Преломление
Refractive index	Показатель преломления
Refugee	Беженцы
Regent	Регент
Reggae	Регги
Regiment	Полк
Regina	Реджайна
Region	Регион
Reims	Реймс
Reincarnation	Реинкарнация
Reindeer	Северный олень
Relation (mathematics)	Отношение (математика)
Relativism	Релятивизм
Relay	Реле
Religion	Религия
Religion	Категория:Религия
Religious Society of Friends	Квакеры
Rembrandt	Рембрандт
Renaissance	Эпоха Возрождения
Renaissance	Категория:Эпоха Возрождения
Reproduction	Размножение
Reptile	Пресмыкающиеся
Republic	Республика
Republic of China	Китайская Республика
Republic of Ireland	Ирландия
Republic of Ireland	Категория:Ирландия
Republic of the Congo	Республика Конго
Republic of the Congo	Категория:Республика Конго
Republican Party (United States)	Республиканская партия США
Requiem	Реквием
Resistor	Резистор
Respiratory system	Дыхательная система человека
Restaurant	Ресторан
Reticulum	Сетка (созвездие)
Retina	Сетчатка
Retinol	Витамин A
Revolution	Революция
Revolver	Револьвер
Rhea (moon)	Рея (спутник)
Rhea (mythology)	Рея (мифология)
Rhenium	Рений
Rhetoric	Риторика
Rhetoric	Категория:Риторика
Rhine	Рейн
Rhinoceros	Носороги
Rho (letter)	Ро (буква)
Rhode Island	Род-Айленд
Rhode Island	Категория:Род-Айленд
Rhodes	Родос (остров)
Rhodium	Родий
Rhombus	Ромб
Rhyme	Рифма
Rhythm	Ритм
Rhythm and blues	Ритм-н-блюз
Rib	Ребро
Riboflavin	Рибофлавин
Ribosome	Рибосома
Rice	Рис
Richard Feynman	Фейнман, Ричард Филлипс
Richard Nixon	Никсон, Ричард Милхауз
Richard Strauss	Штраус, Рихард
Richard Wagner	Вагнер, Рихард
Richard Wright (musician)	Райт, Ричард
Richmond	Ричмонд (Вирджиния)
Riga	Рига
Rigel	Ригель (звезда)
Ring (mathematics)	Кольцо (математика)
Ringo Starr	Ринго Старр
Rio Grande	Рио-Гранде (бассейн Мексиканского залива)
Rio de Janeiro	Рио-де-Жанейро
Rio de Janeiro (state)	Рио-де-Жанейро (штат)
River	Река
River Thames	Темза
Riyadh	Эр-Рияд
Road	Дорога
Roald Amundsen	Амундсен, Руаль
Robert A. Heinlein	Хайнлайн, Роберт Энсон
Robert Andrews Millikan	Милликен, Роберт Эндрюс
Robert Boyle	Бойль, Роберт
Robert Burns	Бёрнс, Роберт
Robert De Niro	Де Ниро, Роберт
Robert E. Lee	Ли, Роберт Эдвард
Robert Falcon Scott	Скотт, Роберт Фалкон
Robert Hooke	Гук, Роберт
Robert Koch	Кох, Роберт
Robert Louis Stevenson	Стивенсон, Роберт Льюис
Robert Oppenheimer	Оппенгеймер, Роберт
Robert Owen	Оуэн, Роберт
Robert Redford	Редфорд, Роберт
Robert Schumann	Шуман, Роберт
Robin Hood	Робин Гуд
Robot	Робот
Rock	Камень, ножницы, бумага
Rock (geology)	Горная порода
Rock and roll	Рок-н-ролл
Rock music	Рок-музыка
Rock music	Категория:Рок
Rocket	Ракета
Rocky Mountains	Скалистые горы
Rococo	Рококо
Rodent	Грызуны
Roe Deer	Европейская косуля
Roentgenium	Рентгений
Roger Bacon	Бэкон, Роджер
Roman Catholic Church	Римско-католическая церковь
Roman Empire	Римская империя
Roman Republic	Республика (Древний Рим)
Roman calendar	Римский календарь
Roman law	Римское право
Roman legion	Римский легион
Roman mythology	Древнеримская мифология
Roman mythology	Категория:Римская мифология
Romania	Румыния
Romania	Категория:Румыния
Romansh	Романшский язык
Romanticism	Романтизм (направление в искусстве)
Rome	Рим
Rome	Категория:Рим
Ronald Reagan	Рейган, Рональд
Roof	Крыша
Rook (bird)	Грач
Rook (chess)	Ладья (шахматы)
Roosevelt	Рузвельт
Root	Корень
Rosa Parks	Паркс, Роза Ли
Rosaceae	Розановые
Rosales	Розовые
Rosario	Росарио
Rosary	Розарий
Rose	Роза
Roseau	Розо
Rosemary	Розмарин обыкновенный
Rosetta Stone	Розеттский камень
Rosh Hashanah	Рош Ха-Шана
Ross Sea	Море Росса
Rostock	Росток
Rotifer	Коловратки
Rotterdam	Роттердам
Router	Маршрутизатор
Rowing (sport)	Академическая гребля
Royal Air Force	Королевские военно-воздушные силы Великобритании
Royal Society	Лондонское королевское общество
Rubber	Резина
Rubicon	Рубикон
Rubidium	Рубидий
Ruble	Рубль (значения)
Rubus idaeus	Малина
Ruby	Рубин
Ruby (programming language)	Ruby
Rudolf Diesel	Дизель, Рудольф
Rudolf Hess	Гесс, Рудольф
Rudolf Steiner	Штейнер, Рудольф
Rudyard Kipling	Киплинг, Джозеф Редьярд
Rugby football	Регби
Rupert Murdoch	Мёрдок, Руперт
Russia	Россия
Russia	Категория:Россия
Russian Orthodox Church	Русская православная церковь
Russian Revolution (1917)	Октябрьская революция в России 1917
Russo-Japanese War	Русско-японская война
Ruthenium	Рутений
Rutherford B. Hayes	Хейз, Резерфорд
Rutherfordium	Резерфордий
Rwanda	Руанда
Rwanda	Категория:Руанда
Rye	Рожь
S	S (латиница)
SOAP	SOAP
SOS	SOS
Sacrament	Таинство
Sacramento	Сакраменто (Калифорния)
Saddam Hussein	Саддам Хусейн
Safari (web browser)	Safari
Saffron	Шафран
Sagitta	Стрела (созвездие)
Sagittarius (constellation)	Стрелец (созвездие)
Sahara	Пустыня Сахара
Sail	Парус
Saint	Святой
Saint Andrew	Андрей Первозванный
Saint George	Георгий Победоносец
Saint Kitts and Nevis	Сент-Китс и Невис
Saint Lawrence River	Река Святого Лаврентия
Saint Lucia	Сент-Люсия
Saint Martin	Остров Святого Мартина
Saint Nicholas	Николай Чудотворец
Saint Patrick	Святой Патрик
Saint Paul	Сент-Пол (Миннесота)
Saint Peter	Апостол Пётр
Saint Petersburg	Санкт-Петербург
Saint Petersburg	Категория:Санкт-Петербург
Saint Vincent and the Grenadines	Сент-Винсент и Гренадины
Saint Vincent and the Grenadines	Категория:Сент-Винсент и Гренадины
Sake	Саке
Saladin	Салах ад-Дин
Salah	Намаз
Salamander	Хвостатые земноводные
Salem	Сейлем (Орегон)
Salerno	Салерно
Saliva	Слюна
Salman Rushdie	Рушди, Салман
Salmonidae	Лососёвые (семейство)
Salt	Соль
Salt (chemistry)	Соли
Salt Lake City	Солт-Лейк-Сити
Salvador	Салвадор (Баия)
Salzburg	Зальцбург
Salzburg (state)	Зальцбург (земля)
Samara	Самара
Samarium	Самарий
Samarkand	Самарканд
Samoa	Самоа
Samoa	Категория:Самоа
Samsara	Самсара
Samuel Beckett	Беккет, Сэмюэл
Samuel F. B. Morse	Морзе, Сэмюэл Финли Бриз
Samuel Taylor Coleridge	Кольридж, Сэмюэл Тейлор
Samurai	Самурай
San Antonio	Сан-Антонио (Техас)
San Diego	Сан-Диего (Калифорния)
San Francisco	Сан-Франциско
San Jose	Сан-Хосе (Калифорния)
San Juan	Сан-Хуан (Пуэрто-Рико)
San Marino	Сан-Марино
San Marino	Категория:Сан-Марино
San Marino	Сан-Марино (город)
San Salvador	Сан-Сальвадор
Sand	Песок
Sandro Botticelli	Сандро Боттичелли
Sandstone	Песчаник
Sandwich	Сандвич
Sanskrit	Санскрит
Santa Claus	Санта Клаус
Santa Fe	Санта-Фе
Santiago	Сантьяго
Santiago	Сантьяго (значения)
Santiago de Cuba	Сантьяго-де-Куба (город)
Santo Domingo	Санто-Доминго
Santos (Săo Paulo)	Сантус
Sapphire	Сапфир
Sappho	Сапфо
Sapporo	Саппоро
Sarah Bernhardt	Бернар, Сара
Sarajevo	Сараево
Saratov	Саратов
Sarcophagus	Саркофаг
Sardine	Сардина
Sardinia	Сардиния
Sari	Сари (город)
Sarin	Зарин (химическое оружие)
Saskatchewan	Саскачеван
Satan	Сатана
Satanism	Сатанизм
Satellite	Искусственный спутник Земли
Satire	Сатира
Saturday	Суббота
Saturn	Сатурн (планета)
Saturn	Категория:Сатурн
Saturn (disambiguation)	Сатурн
Saturn (mythology)	Сатурн (мифология)
Satyr	Сатиры
Sauce	Соус
Saudi Arabia	Саудовская Аравия
Saudi Arabia	Категория:Саудовская Аравия
Saul Bellow	Беллоу, Сол
Savanna	Саванна
Saxony	Саксония (федеральная земля)
Saxony	Категория:Саксония
Saxophone	Саксофон
Scandinavia	Скандинавия
Scandinavia	Категория:Скандинавия
Scandinavian Peninsula	Скандинавский полуостров
Scandium	Скандий
Scapula	Лопатка
Scheldt	Шельда (река)
Scheme (programming language)	Scheme
Schizophrenia	Шизофрения
Scholasticism	Схоластика
School	Школа
Schutzstaffel	СС
Science	Наука
Science	Категория:Наука
Science fiction	Научная фантастика
Science fiction	Категория:Фантастика
Scientific method	Научный метод
Scientist	Учёный
Scientology	Саентология
Scipio Africanus	Сципион Африканский Старший
Scissors	Ножницы
Sciuridae	Беличьи
Scorpion	Скорпионы
Scorpius	Скорпион (созвездие)
Scotland	Шотландия
Scotland	Категория:Шотландия
Scots Pine	Сосна обыкновенная
Scottish Gaelic	Шотландский (гэльский) язык
Scouting	Скаутское движение
Scrabble	Скрэббл
Screw	Винт (деталь машины)
Screwdriver	Отвёртка
Scrotum	Мошонка
Sculptor (constellation)	Скульптор (созвездие)
Sculpture	Скульптура
Sculpture	Категория:Скульптура
Sea	Море
Sea Otter	Калан
Sea anemone	Актинии
Sea cucumber	Голотурии
Sea level	Уровень моря
Sea of Azov	Азовское море
Sea of Japan	Японское море
Sea of Marmara	Мраморное море
Sea of Okhotsk	Охотское море
Sea urchin	Морские ежи
Seaborgium	Сиборгий
Seahorse	Морской конёк
Search engine	Поисковая система
Sears Tower	Сирс-Тауэр
Season	Времена года
Seattle	Сиэтл
Second	Секунда
Second Crusade	Второй крестовый поход
Second Vatican Council	Второй Ватиканский собор
Second law of thermodynamics	Второе начало термодинамики
Sect	Секта
Security	Категория:Безопасность
Sedimentary rock	Осадочные горные породы
Seed	Семя (ботаника)
Segovia	Сеговия
Seine	Сена (река)
Seismology	Сейсмология
Seismology	Категория:Сейсмология
Selene	Селена
Selenium	Селен
Seleucus I Nicator	Селевк I Никатор
Semantics	Лингвистическая семантика
Semantics	Категория:Семантика
Semen	Сперма
Semicolon	Точка с запятой
Semiconductor	Полупроводник
Semiotics	Семиотика
Semitic	Семиты
Senegal	Сенегал
Senegal	Категория:Сенегал
Seoul	Сеул
Seppuku	Харакири
September	Сентябрь
September 11	11 сентября
September 11	Террористический акт 11 сентября 2001 года
September 17	17 сентября
September 29	29 сентября
Septuagint	Септуагинта
Sequence	Последовательность
Serbia	Сербия
Serbia	Категория:Сербия
Serbia and Montenegro	Сербия и Черногория
Serbia and Montenegro	Категория:Сербия и Черногория
Serfdom	Крепостное право
Sergei Eisenstein	Эйзенштейн, Сергей Михайлович
Sergei Rachmaninoff	Рахманинов, Сергей Васильевич
Series (mathematics)	Сумма ряда
Serine	Серин
Serotonin	Серотонин
Serpens	Змея (созвездие)
Server (computing)	Сервер (аппаратное обеспечение)
Set	Множество
Set (mythology)	Сет (мифология)
Set theory	Теория множеств
Set theory	Категория:Теория множеств
Sevastopol	Севастополь
Seven Years' War	Семилетняя война
Severe acute respiratory syndrome	Тяжёлый острый респираторный синдром
Seville	Севилья
Sex	Пол (биология)
Sexism	Сексизм
Sextant	Секстант
Sexual intercourse	Половой акт
Sexuality	Категория:Сексуальность
Sexually transmitted disease	Заболевания, передающиеся половым путём
Seychelles	Сейшелы
Seychelles	Категория:Сейшелы
Shah	Шах (титул)
Shahadah	Шахада
Shamanism	Шаманизм
Shanghai	Шанхай
Share (finance)	Акция (финансы)
Shareware	Shareware
Sharia	Шариат
Shark	Акулы
Sheffield	Шеффилд
Sherlock Holmes	Шерлок Холмс
Shetland	Шетлендские острова
Shield	Щит
Shikoku	Сикоку
Shinto	Синтоизм
Ship	Судно
Shiva	Шива
Shogi	Сёги
Shogun	Сёгун
Shorthand	Стенография
Shrimp	Настоящие креветки
Shrub	Кустарник
Siberia	Сибирь
Siberian Husky	Сибирский хаски
Sichuan	Сычуань
Sicily	Сицилия
Sicily	Категория:Сицилия
Siemens (unit)	Сименс (единица измерения)
Sierra Leone	Сьерра-Леоне
Sierra Leone	Категория:Сьерра-Леоне
Sigma	Сигма (буква)
Sigmund Freud	Фрейд, Зигмунд
Sign language	Жестовые языки
Sigrid Undset	Унсет, Сигрид
Sikhism	Сикхизм
Sikkim	Сикким
Silesia	Силезия
Silicon	Кремний
Silicon Valley	Кремниевая долина
Silicon dioxide	Диоксид кремния
Silk	Шёлк
Silk Road	Великий Шёлковый Путь
Silurian	Силур
Silver	Серебро
Simone de Beauvoir	Де Бовуар, Симона
Sin	Грех
Sinai Peninsula	Синайский полуостров
Sinclair Lewis	Льюис, Синклер
Singapore	Сингапур
Singapore	Категория:Сингапур
Single (music)	Сингл
Siren	Сирены (мифология)
Sirenia	Сирены (млекопитающие)
Sirius	Сириус
Sistine Chapel	Сикстинская капелла
Sisyphus	Сизиф
Sitting Bull	Сидящий Бык
Situation comedy	Ситуационная комедия
Six-Day War	Шестидневная война (1967)
Skagerrak	Скагеррак
Skateboard	Скейтборд
Skeletal system	Категория:Костная система
Skepticism	Скептицизм
Skin	Кожа
Skinhead	Скинхеды
Skopje	Скопье
Skull	Череп
Skylab	Скайлэб
Skyscraper	Небоскрёб
Slash (musician)	Слэш (музыкант)
Slavery	Рабство
Slayer	Slayer
Sleep	Сон
Slovakia	Словакия
Slovakia	Категория:Словакия
Slovenia	Словения
Slovenia	Категория:Словения
Small intestine	Тонкая кишка
Smog	Смог
Smolensk	Смоленск
Snake	Змеи
Snooker	Снукер
Snow	Снег
Soap	Мыло
Social psychology	Социальная психология
Socialism	Социализм
Socialism	Категория:Социализм
Socialist Party (France)	Социалистическая партия Франции
Society	Категория:Общество
Society	Общество
Society of Jesus	Иезуиты
Sociolinguistics	Социолингвистика
Sociology	Социология
Sociology	Категория:Социология
Socrates	Сократ
Sodium	Натрий
Sodium bicarbonate	Гидрокарбонат натрия
Sodium chloride	Хлорид натрия
Sodium hydroxide	Гидроксид натрия
Sofia	София
Softball	Софтбол
Software	Категория:Программное обеспечение
Soil	Почва
Solanaceae	Паслёновые
Solanaceae	Категория:Паслёновые
Solar System	Солнечная система
Solar System	Категория:Солнечная система
Solar cell	Фотоэлемент
Solar eclipse	Солнечное затмение
Solar energy	Солнечная энергетика
Solar wind	Солнечный ветер
Solid	Твёрдое тело
Solid state	Твёрдое тело
Solidarity	Солидарность (профсоюз)
Solomon	Соломон
Solomon Islands	Соломоновы Острова
Solomon Islands	Категория:Соломоновы Острова
Solon	Солон
Solstice	Солнцестояние
Solution	Раствор
Solvent	Растворители
Somalia	Сомали
Somalia	Категория:Сомали
Somerset	Сомерсет
Somme	Сомма (департамент)
Sonata	Соната (музыка)
Song	Песня
Song of Solomon	Песнь песней Соломона
Sonnet	Сонет
Sophia Loren	Софи Лорен
Sophism	Софизм
Sophocles	Софокл
Soprano	Сопрано
Sorbonne	Сорбонна
Sorghum	Сорго
Sorting algorithm	Алгоритм сортировки
Soul	Душа
Sound	Звук
Soup	Суп
Source code	Исходный код
South	Юг
South Africa	Категория:ЮАР
South America	Южная Америка
South America	Категория:Южная Америка
South Australia	Южная Австралия
South Carolina	Южная Каролина
South Carolina	Категория:Южная Каролина
South China Sea	Южно-Китайское море
South Dakota	Южная Дакота
South Dakota	Категория:Южная Дакота
South Island	Южный остров (Новая Зеландия)
South Korea	Республика Корея
South Korea	Категория:Южная Корея
South Pole	Южный полюс
South Vietnam	Южный Вьетнам
Southeast Asia	Юго-Восточная Азия
Southern Hemisphere	Южное полушарие
Sovereignty	Суверенитет
Soviet Union	Союз Советских Социалистических Республик
Soviet Union	Категория:СССР
Soybean	Соя
Space	Пространство
Space Shuttle	Спейс Шаттл
Space station	Орбитальная станция
Spacecraft	Космический аппарат
Spaghetti	Спагетти
Spain	Испания
Spain	Категория:Испания
Spam (electronic)	Спам
Spanish Civil War	Гражданская война в Испании
Spanish people	Категория:Персоналии:Испания
Spanish-American War	Испано-американская война
Sparta	Спарта
Spear	Копьё
Special relativity	Специальная теория относительности
Species	Биологический вид
Spectroscopy	Спектроскопия
Speed	Скорость
Speed of light	Скорость света
Speleology	Спелеология
Spencer Tracy	Трейси, Спенсер
Sperm Whale	Кашалот
Spermatophyte	Семенные растения
Spermatozoon	Сперматозоиды
Sphere	Сфера
Sphinx	Сфинкс
Spice	Вкусовые добавки
Spider	Пауки
Spin (physics)	Спин
Spinach	Шпинат
Spinal cord	Спинной мозг
Spiral galaxy	Спиральная галактика
Spleen	Селезёнка
Split	Сплит (город)
Sponge	Губки
Sport	Спорт
Spreadsheet	Табличный процессор
Spree	Шпре
Spring (season)	Весна
Springfield	Спрингфилд (Иллинойс)
Spyware	Spyware
Squamata	Чешуйчатые
Square (geometry)	Квадрат
Square metre	Квадратный метр
Square root	Квадратный корень
Squash (sport)	Сквош
Squirrel	Белка
Sri Lanka	Шри-Ланка
Sri Lanka	Категория:Шри-Ланка
St. Louis	Сент-Луис
Stadium	Стадион
Stained glass	Витраж
Stainless steel	Нержавеющая сталь
Stalinism	Сталинизм
Standard Generalized Markup Language	SGML
Standard deviation	Стандартное отклонение
Stanford University	Стэнфордский университет
Stanley Kubrick	Кубрик, Стэнли
Star	Звезда
Star of David	Звезда Давида
Starch	Крахмал
Starfish	Морские звёзды
State	Государство
Staten Island	Статен-Айленд
Statistical mechanics	Статистическая физика
Statistics	Статистика
Statistics	Категория:Статистика
Statue of Liberty	Статуя Свободы
Stavanger	Ставангер
Steam	Пар
Steam engine	Паровая машина
Steel	Сталь
Stefan Zweig	Цвейг, Стефан
Steffi Graf	Граф, Штеффи
Stegosaurus	Стегозавр
Stem cell	Стволовая клетка
Stendhal	Стендаль
Stephen Hawking	Хокинг, Стивен Уильям
Steppe	Степь
Steradian	Стерадиан
Steroid	Стероиды
Steven Spielberg	Спилберг, Стивен
Sting	Стинг
Stock exchange	Фондовая биржа
Stockholm	Стокгольм
Stoicism	Стоицизм
Stomach	Желудок человека
Stone Age	Каменный век
Stonehenge	Стоунхендж
Stork	Аистовые
Storm	Буря
Strait	Пролив
Strait of Gibraltar	Гибралтарский пролив
Strait of Hormuz	Ормузский пролив
Strait of Magellan	Магелланов пролив
Strait of Messina	Мессинский пролив
Straits	Категория:Проливы
Strasbourg	Страсбург
Strategy	Стратегия
Stratigraphy	Стратиграфия
Stratosphere	Стратосфера
Strawberry	Земляника
Stress (medicine)	Стресс
String theory	Теория струн
Stroke	Инсульт
Strong interaction	Сильное взаимодействие
Strontium	Стронций
Structuralism	Структурализм
Stub	Шаблон:Заготовка
Student	Студент
Stupa	Ступа (архитектура)
Sturmabteilung	СА
Stuttgart	Штутгарт
Styx	Стикс
Sub-Saharan Africa	Африка южнее Сахары
Subculture	Субкультура
Sublimation (chemistry)	Возгонка
Submarine	Подводная лодка
Subset	Подмножество
Subtraction	Вычитание
Subversion (software)	Subversion
Sucre	Сукре (город)
Sucrose	Сахароза
Sudan	Судан
Sudan	Категория:Судан
Sudoku	Судоку
Suez Canal	Суэцкий канал
Suffix	Суффикс (лингвистика)
Sufism	Суфизм
Sugar	Сахар
Suharto	Сухарто, Мухаммед
Sukarno	Сукарно, Ахмед
Sulawesi	Сулавеси
Sulfur	Сера
Sulfur dioxide	Оксид серы(IV)
Sulfur mustard	Иприт
